# Single Point Spectroscopy       
# 
# Sample                          Ges_au_teste
# Data set                        04/05/2023
# Creation Comment                
# Ramp start value                -1.500e+000 V
# Ramp end value                  1.500e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 8.203e+002, -1.143e+003 [nm]
# Averaged curves                 11
# 
# 
# Ramp value [V]                             I(V)
# --------------             --------------------
    -1.5000e+000             -1.978657600521e-009
    -1.4799e+000             -1.911151824342e-009
    -1.4597e+000             -1.155831692227e-009
    -1.4396e+000             -8.808402983455e-010
    -1.4195e+000             -9.964978523469e-010
    -1.3993e+000             -1.059999534804e-009
    -1.3792e+000             -9.019423467568e-010
    -1.3591e+000             -8.067135480470e-010
    -1.3389e+000             -7.619935182744e-010
    -1.3188e+000             -6.113478267612e-010
    -1.2987e+000             -7.155195459691e-010
    -1.2785e+000             -8.882227976864e-010
    -1.2584e+000             -1.639195211586e-009
    -1.2383e+000             -7.226700677635e-010
    -1.2181e+000             -6.404819426569e-010
    -1.1980e+000             -6.975443874149e-010
    -1.1779e+000             -4.442655336569e-010
    -1.1577e+000             -5.062872737986e-010
    -1.1376e+000             -4.246193924545e-010
    -1.1174e+000             -1.491782319465e-009
    -1.0973e+000             -1.088229310425e-009
    -1.0772e+000             -4.557696661446e-010
    -1.0570e+000             -3.186399230877e-010
    -1.0369e+000             -2.885295166618e-010
    -1.0168e+000             -2.711850082960e-010
    -9.9664e-001             -2.598094248632e-010
    -9.7651e-001             -7.390683682488e-010
    -9.5638e-001             -6.002074772442e-010
    -9.3624e-001             -4.806945370528e-010
    -9.1611e-001             -3.587038099521e-010
    -8.9597e-001             -3.657876537084e-010
    -8.7584e-001             -3.213103009816e-010
    -8.5570e-001             -5.539340042488e-010
    -8.3557e-001             -7.060323466017e-010
    -8.1544e-001             -6.489537750624e-010
    -7.9530e-001             -6.725497371645e-010
    -7.7517e-001             -5.301775496596e-010
    -7.5503e-001             -1.514580781219e-010
    -7.3490e-001             -1.347493370962e-010
    -7.1477e-001             -1.374001767743e-010
    -6.9463e-001             -1.756273162865e-010
    -6.7450e-001             -1.193375614446e-010
    -6.5436e-001             -9.920808199848e-011
    -6.3423e-001             -1.011432957559e-010
    -6.1409e-001             -1.852967172696e-010
    -5.9396e-001             -1.695317030811e-010
    -5.7383e-001             -1.368577586875e-010
    -5.5369e-001             -8.466792786367e-011
    -5.3356e-001             -1.469259873777e-010
    -5.1342e-001             -1.326502194173e-010
    -4.9329e-001             -1.349872071206e-010
    -4.7315e-001             -1.419063716293e-010
    -4.5302e-001             -1.341222534076e-010
    -4.3289e-001             -1.128273038813e-010
    -4.1275e-001             -1.071033819721e-010
    -3.9262e-001             -1.113509280653e-010
    -3.7248e-001             -1.067079656996e-010
    -3.5235e-001             -9.421513746530e-011
    -3.3221e-001             -9.145172044845e-011
    -3.1208e-001             -9.828079207307e-011
    -2.9195e-001             -8.174603420738e-011
    -2.7181e-001             -7.848315216549e-011
    -2.5168e-001             -6.718044937896e-011
    -2.3154e-001             -6.050892400254e-011
    -2.1141e-001             -6.071097396455e-011
    -1.9128e-001             -5.163128595574e-011
    -1.7114e-001             -4.078044317636e-011
    -1.5101e-001             -3.997782567570e-011
    -1.3087e-001             -3.456124300268e-011
    -1.1074e-001             -2.911178650623e-011
    -9.0604e-002             -2.385740203756e-011
    -7.0470e-002             -1.851230442401e-011
    -5.0336e-002             -1.258307618354e-011
    -3.0201e-002             -6.819612647118e-012
    -1.0067e-002             -1.240521639349e-013
     1.0067e-002              5.843167051745e-012
     3.0201e-002              1.211043743894e-011
     5.0336e-002              2.093132162074e-011
     7.0470e-002              2.526709981547e-011
     9.0604e-002              3.299911612833e-011
     1.1074e-001              4.422273566035e-011
     1.3087e-001              4.941804028594e-011
     1.5101e-001              6.035742529734e-011
     1.7114e-001              7.891795500008e-011
     1.9128e-001              9.221355580021e-011
     2.1141e-001              9.677510893331e-011
     2.3154e-001              1.312471894432e-010
     2.5168e-001              1.465018840422e-010
     2.7181e-001              1.633889500535e-010
     2.9195e-001              1.825505124905e-010
     3.1208e-001              2.107888166974e-010
     3.3221e-001              2.382686969871e-010
     3.5235e-001              2.506624385554e-010
     3.7248e-001              2.541928080758e-010
     3.9262e-001              2.962683558436e-010
     4.1275e-001              3.330485819287e-010
     4.3289e-001              3.517314580781e-010
     4.5302e-001              2.814721890555e-010
     4.7315e-001              3.330510629720e-010
     4.9329e-001              2.947195645769e-010
     5.1342e-001              3.450924963947e-010
     5.3356e-001              3.869320349207e-010
     5.5369e-001              4.255400145761e-010
     5.7383e-001              4.882102374048e-010
     5.9396e-001              6.276850315558e-010
     6.1409e-001              6.650301601824e-010
     6.3423e-001              7.262807610600e-010
     6.5436e-001              8.467143233730e-010
     6.7450e-001              9.482902510506e-010
     6.9463e-001              1.012647273178e-009
     7.1477e-001              1.132082215572e-009
     7.3490e-001              1.105616461722e-009
     7.5503e-001              9.352343810572e-010
     7.7517e-001              9.589587371490e-010
     7.9530e-001              9.725694304455e-010
     8.1544e-001              1.072107646265e-009
     8.3557e-001              1.055628401743e-009
     8.5570e-001              1.246633379336e-009
     8.7584e-001              1.166882414055e-009
     8.9597e-001              1.407465304160e-009
     9.1611e-001              1.432989967281e-009
     9.3624e-001              1.483119291662e-009
     9.5638e-001              1.737564080696e-009
     9.7651e-001              2.005891547396e-009
     9.9664e-001              2.020395726403e-009
     1.0168e+000              1.672220068539e-009
     1.0369e+000              2.012868241095e-009
     1.0570e+000              2.051468932686e-009
     1.0772e+000              1.997208516181e-009
     1.0973e+000              2.193187210222e-009
     1.1174e+000              2.192536246492e-009
     1.1376e+000              2.788416474127e-009
     1.1577e+000              3.089086665943e-009
     1.1779e+000              3.209553567275e-009
     1.1980e+000              3.230097380949e-009
     1.2181e+000              3.074645598474e-009
     1.2383e+000              3.604550388438e-009
     1.2584e+000              3.652172773651e-009
     1.2785e+000              3.454276853417e-009
     1.2987e+000              4.218061840004e-009
     1.3188e+000              4.437571523826e-009
     1.3389e+000              4.495559242662e-009
     1.3591e+000              4.602517948797e-009
     1.3792e+000              4.522066243856e-009
     1.3993e+000              5.175348509048e-009
     1.4195e+000              5.138237063685e-009
     1.4396e+000              5.088255051249e-009
     1.4597e+000              5.429243591930e-009
     1.4799e+000              3.762094155592e-009
     1.5000e+000              3.866146784723e-009
