# Single Point Spectroscopy       
# 
# Sample                          Ges_au_teste
# Data set                        04/05/2023
# Creation Comment                
# Ramp start value                -1.500e+000 V
# Ramp end value                  1.500e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 8.203e+002, -1.143e+003 [nm]
# Averaged curves                 12
# 
# 
# Ramp value [V]                            I(V)
# --------------             -------------------
    -1.5000e+000             -2.83308161082e-009
    -1.4799e+000             -2.93709578378e-009
    -1.4597e+000             -2.62903177286e-009
    -1.4396e+000             -2.79190730202e-009
    -1.4195e+000             -2.85041712540e-009
    -1.3993e+000             -2.75187954535e-009
    -1.3792e+000             -2.93080137698e-009
    -1.3591e+000             -2.64601978632e-009
    -1.3389e+000             -2.77763354991e-009
    -1.3188e+000             -2.74013816310e-009
    -1.2987e+000             -2.73612523066e-009
    -1.2785e+000             -2.79774442153e-009
    -1.2584e+000             -2.80360247484e-009
    -1.2383e+000             -3.05942501822e-009
    -1.2181e+000             -2.65409992402e-009
    -1.1980e+000             -2.62402084076e-009
    -1.1779e+000             -2.68804772907e-009
    -1.1577e+000             -2.51536913272e-009
    -1.1376e+000             -2.65234489603e-009
    -1.1174e+000             -2.83590410768e-009
    -1.0973e+000             -3.19624711191e-009
    -1.0772e+000             -3.29656313480e-009
    -1.0570e+000             -3.22029183272e-009
    -1.0369e+000             -2.58194513793e-009
    -1.0168e+000             -2.74388670936e-009
    -9.9664e-001             -2.44388484858e-009
    -9.7651e-001             -2.18700646622e-009
    -9.5638e-001             -2.04499542558e-009
    -9.3624e-001             -2.48131820931e-009
    -9.1611e-001             -2.83663725597e-009
    -8.9597e-001             -2.14066724558e-009
    -8.7584e-001             -1.82758346385e-009
    -8.5570e-001             -1.45491200050e-009
    -8.3557e-001             -1.88578439734e-009
    -8.1544e-001             -1.51503357162e-009
    -7.9530e-001             -1.54724309572e-009
    -7.7517e-001             -1.39605297027e-009
    -7.5503e-001             -1.42336956690e-009
    -7.3490e-001             -1.21360619641e-009
    -7.1477e-001             -1.19777233327e-009
    -6.9463e-001             -1.24428259083e-009
    -6.7450e-001             -1.06496875436e-009
    -6.5436e-001             -9.91729907426e-010
    -6.3423e-001             -8.34110313387e-010
    -6.1409e-001             -8.40526446371e-010
    -5.9396e-001             -7.82410488610e-010
    -5.7383e-001             -6.24280730047e-010
    -5.5369e-001             -4.65714462932e-010
    -5.3356e-001             -4.15708260323e-010
    -5.1342e-001             -4.74748716835e-010
    -4.9329e-001             -3.75621268744e-010
    -4.7315e-001             -3.72685729349e-010
    -4.5302e-001             -3.80889143885e-010
    -4.3289e-001             -4.40152584162e-010
    -4.1275e-001             -4.57232861418e-010
    -3.9262e-001             -4.16044441688e-010
    -3.7248e-001             -3.64953557971e-010
    -3.5235e-001             -3.88921211369e-010
    -3.3221e-001             -3.53393602010e-010
    -3.1208e-001             -2.97529656220e-010
    -2.9195e-001             -2.74787328071e-010
    -2.7181e-001             -2.60291677650e-010
    -2.5168e-001             -2.53855231125e-010
    -2.3154e-001             -1.77719766162e-010
    -2.1141e-001             -2.52445998542e-010
    -1.9128e-001             -2.29760269193e-010
    -1.7114e-001             -2.12110747569e-010
    -1.5101e-001             -1.78173486951e-010
    -1.3087e-001             -1.46588875622e-010
    -1.1074e-001             -1.24140396037e-010
    -9.0604e-002             -9.06442959264e-011
    -7.0470e-002             -7.02772565864e-011
    -5.0336e-002             -5.26029245298e-011
    -3.0201e-002             -2.26816976539e-011
    -1.0067e-002             -5.69213354215e-012
     1.0067e-002              1.14852145327e-011
     3.0201e-002              3.10707252400e-011
     5.0336e-002              3.78338941525e-011
     7.0470e-002              5.78346694785e-011
     9.0604e-002              8.28632790088e-011
     1.1074e-001              8.92756904278e-011
     1.3087e-001              1.09930220658e-010
     1.5101e-001              1.19721657957e-010
     1.7114e-001              1.40053962691e-010
     1.9128e-001              1.96494440912e-010
     2.1141e-001              1.98792817380e-010
     2.3154e-001              2.18091457458e-010
     2.5168e-001              3.26420474810e-010
     2.7181e-001              3.99829583340e-010
     2.9195e-001              3.71180821535e-010
     3.1208e-001              5.11333250632e-010
     3.3221e-001              4.97232241157e-010
     3.5235e-001              3.14946890167e-010
     3.7248e-001              3.73879111166e-010
     3.9262e-001              6.45850610182e-010
     4.1275e-001              7.09864628076e-010
     4.3289e-001              6.45430228411e-010
     4.5302e-001              7.71211679511e-010
     4.7315e-001              1.11693079440e-009
     4.9329e-001              1.20445424801e-009
     5.1342e-001              9.96320302687e-010
     5.3356e-001              1.13764611019e-009
     5.5369e-001              9.45781296035e-010
     5.7383e-001              1.38973561383e-009
     5.9396e-001              1.36935105212e-009
     6.1409e-001              1.77837817302e-009
     6.3423e-001              1.57870830684e-009
     6.5436e-001              2.31023244274e-009
     6.7450e-001              1.69005427282e-009
     6.9463e-001              1.75259082944e-009
     7.1477e-001              1.75713563553e-009
     7.3490e-001              2.07703716913e-009
     7.5503e-001              2.38282947479e-009
     7.7517e-001              2.64623315604e-009
     7.9530e-001              2.85134131402e-009
     8.1544e-001              3.30849912388e-009
     8.3557e-001              2.69433360728e-009
     8.5570e-001              3.10183380111e-009
     8.7584e-001              3.36555924266e-009
     8.9597e-001              4.04730527687e-009
     9.1611e-001              4.08544108298e-009
     9.3624e-001              4.07019801827e-009
     9.5638e-001              4.05057591217e-009
     9.7651e-001              4.28181844966e-009
     9.9664e-001              6.49172851184e-009
     1.0168e+000              5.32088557739e-009
     1.0369e+000              5.54723937416e-009
     1.0570e+000              7.23001829769e-009
     1.0772e+000              7.47669974724e-009
     1.0973e+000              8.96508489820e-009
     1.1174e+000              9.50101924359e-009
     1.1376e+000              6.51083921289e-009
     1.1577e+000              6.92500752066e-009
     1.1779e+000              7.31111073206e-009
     1.1980e+000              8.04071035370e-009
     1.2181e+000              8.57251438230e-009
     1.2383e+000              8.03087611841e-009
     1.2584e+000              8.03882321016e-009
     1.2785e+000              8.15787994852e-009
     1.2987e+000              9.54789669556e-009
     1.3188e+000              9.80862085007e-009
     1.3389e+000              8.74527283723e-009
     1.3591e+000              9.77774829816e-009
     1.3792e+000              9.04732372963e-009
     1.3993e+000              1.32897207276e-008
     1.4195e+000              1.48219977050e-008
     1.4396e+000              1.30775039154e-008
     1.4597e+000              1.85181511576e-008
     1.4799e+000              1.29784003473e-008
     1.5000e+000              1.26461647723e-008
