Experiment	bias spectroscopy	
Saved Date	11.02.2025 11:49:23	
User		
Date		
X (m)	386.254E-9	
Y (m)	-44.0087E-9	
Z (m)	-354.11E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-357.092E-9	
Start time	11.02.2025 11:48:54	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Input 2 (V)	Input 3 (V)	Input 4 (V)	Input 5 (V)	Input 6 (V)	Input 7 (V)	Input 8 (V)	Bias (V)	Output 2 (V)	Output 3 (V)	Output 4 (V)	X (m)	Y (m)	Z (m)	Output 8 (V)	Fast Output 1 (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	OC D1 X (m)	OC D1 Y (m)	OC D2 Phase (deg)	Current [bwd] (A)	Input 2 [bwd] (V)	Input 3 [bwd] (V)	Input 4 [bwd] (V)	Input 5 [bwd] (V)	Input 6 [bwd] (V)	Input 7 [bwd] (V)	Input 8 [bwd] (V)	Bias [bwd] (V)	Output 2 [bwd] (V)	Output 3 [bwd] (V)	Output 4 [bwd] (V)	X [bwd] (m)	Y [bwd] (m)	Z [bwd] (m)	Output 8 [bwd] (V)	Fast Output 1 [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)	OC D1 X [bwd] (m)	OC D1 Y [bwd] (m)	OC D2 Phase [bwd] (deg)
0.0000000E+0	7.4381569E-12	-59.920296E-3	-6.2118326E-3	-5.8823228E-3	-1.0594991E-3	-1.2875138E-3	-7.1463622E-3	-63.285828E-6	0.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	-4.1594558E+0	481.46688E-6	0.0000000E+0	0.0000000E+0	-41.441977E-6	10.708097E-6	-3.2534437E+0	7.5486848E-12	-61.172869E-3	-6.1968248E-3	-5.8546998E-3	-1.0771046E-3	-1.3133374E-3	-7.1692755E-3	-43.546675E-6	0.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	1.5703187E+0	487.85133E-6	0.0000000E+0	0.0000000E+0	-5.4790289E-6	-2.2834010E-6	1.7259893E+0
-15.075377E-3	7.2624714E-12	2.9656551E+0	-6.2212702E-3	-5.8742128E-3	-1.0550639E-3	-1.2844175E-3	-7.1588987E-3	-91.140748E-6	-15.075377E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	-3.7072828E+0	474.34244E-6	0.0000000E+0	0.0000000E+0	-19.846466E-6	-16.748125E-6	-3.1016228E+0	185.05098E-15	2.9661493E+0	-6.2044412E-3	-5.8643837E-3	-1.0827503E-3	-1.3089008E-3	-7.1879216E-3	-1.5131016E-3	-15.075377E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	-5.6944261E+0	480.96187E-6	0.0000000E+0	0.0000000E+0	13.902250E-6	-24.831625E-6	-5.9888811E+0
-30.150754E-3	7.2694272E-12	5.9911284E+0	-6.2105013E-3	-5.8660111E-3	-1.0572001E-3	-1.2868055E-3	-7.1500181E-3	-80.160775E-6	-30.150754E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	1.9373785E+0	476.84155E-6	0.0000000E+0	0.0000000E+0	-22.367543E-6	14.853308E-6	1.6432174E+0	-5.1512718E-12	5.9899015E+0	-6.1975559E-3	-5.8561154E-3	-1.0601692E-3	-1.3180771E-3	-7.1705608E-3	-2.5691891E-3	-30.150754E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	-2.7601769E+0	491.97336E-6	0.0000000E+0	0.0000000E+0	-17.722641E-6	-9.3553354E-6	-3.0544562E+0
-45.226131E-3	7.2317569E-12	9.0177441E+0	-6.2085940E-3	-5.8573810E-3	-1.0328980E-3	-1.2811228E-3	-7.1562538E-3	-80.355327E-6	-45.226131E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	-3.9241915E+0	474.97416E-6	0.0000000E+0	0.0000000E+0	15.771044E-6	-21.433645E-6	-3.9186091E+0	-10.112648E-12	9.0161686E+0	-6.1839120E-3	-5.8581447E-3	-1.0783272E-3	-1.3026563E-3	-7.1731014E-3	-3.5504072E-3	-45.226131E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	-3.0861521E+0	518.06105E-6	0.0000000E+0	0.0000000E+0	-14.876021E-6	-44.492353E-6	-3.3804550E+0
-60.301509E-3	7.1600148E-12	9.9999237E+0	-6.2228725E-3	-5.8544655E-3	-1.0459798E-3	-1.2905006E-3	-7.1610715E-3	-82.333885E-6	-60.301509E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	-4.5598111E+0	475.83590E-6	0.0000000E+0	0.0000000E+0	-30.666844E-6	-9.9350000E-6	-4.8540239E+0	-17.121754E-12	9.9999237E+0	-6.1750603E-3	-5.8617000E-3	-1.0705586E-3	-1.3058090E-3	-7.1639940E-3	-4.9498957E-3	-60.301509E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	-6.0430202E+0	509.07809E-6	0.0000000E+0	0.0000000E+0	-29.825505E-6	1.7413913E-6	-5.8870301E+0
-75.376883E-3	7.2606153E-12	9.9999237E+0	-6.2081730E-3	-5.8478024E-3	-1.0458934E-3	-1.2739206E-3	-7.1628583E-3	-65.413158E-6	-75.376883E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	-656.29578E-3	488.74703E-6	0.0000000E+0	0.0000000E+0	-7.1203444E-6	-8.9643499E-6	-650.52032E-3	-23.624725E-12	9.9999237E+0	-6.1591258E-3	-5.8700601E-3	-1.0563468E-3	-1.2835216E-3	-7.1649360E-3	-6.2526683E-3	-75.376883E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	-230.52621E-3	501.39608E-6	0.0000000E+0	0.0000000E+0	-37.793572E-6	-4.7661442E-6	-74.915409E-3
-90.452261E-3	7.1539623E-12	9.9999237E+0	-6.2048240E-3	-5.8490345E-3	-1.0466258E-3	-1.2749583E-3	-7.1539865E-3	-90.262096E-6	-90.452261E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	3.4515197E+0	478.69424E-6	0.0000000E+0	0.0000000E+0	-32.973490E-6	-2.3180862E-6	3.4575496E+0	-29.501734E-12	9.9999237E+0	-6.1691399E-3	-5.8718985E-3	-1.0698414E-3	-1.2967167E-3	-7.1643181E-3	-7.4218409E-3	-90.452261E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	-5.5909510E+0	480.51612E-6	0.0000000E+0	0.0000000E+0	-18.007164E-6	-13.192479E-6	-5.8847861E+0
-105.52764E-3	7.2367602E-12	9.9999237E+0	-6.2049585E-3	-5.8498345E-3	-1.0235049E-3	-1.2772256E-3	-7.1657971E-3	-70.056914E-6	-105.52764E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	2.1375730E+0	474.34404E-6	0.0000000E+0	0.0000000E+0	-17.621782E-6	-255.29380E-9	2.4431458E+0	-29.486066E-12	9.9999237E+0	-6.1860159E-3	-5.8839074E-3	-1.0756454E-3	-1.2915803E-3	-7.1569346E-3	-7.4175228E-3	-105.52764E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	-3.1134729E+0	488.71676E-6	0.0000000E+0	0.0000000E+0	-10.734965E-6	2.0708517E-6	-2.9577899E+0
-120.60302E-3	7.1418635E-12	9.9999237E+0	-6.2034875E-3	-5.8477097E-3	-1.0386759E-3	-1.2991880E-3	-7.1556601E-3	-91.640468E-6	-120.60302E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	-220.36242E-3	475.18860E-6	0.0000000E+0	0.0000000E+0	-20.261636E-6	-32.136089E-6	-214.29841E-3	-34.104969E-12	9.9999237E+0	-6.1757108E-3	-5.8681546E-3	-1.0517483E-3	-1.2698765E-3	-7.1450025E-3	-8.3410433E-3	-120.60302E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	1.2251520E+0	496.77887E-6	0.0000000E+0	0.0000000E+0	-8.1275193E-6	1.6791346E-6	1.3810225E+0
-135.67840E-3	7.1354294E-12	9.9999237E+0	-6.2054493E-3	-5.8435844E-3	-1.0243034E-3	-1.2660383E-3	-7.1588797E-3	-94.816845E-6	-135.67840E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-355.99851E-9	0.0000000E+0	0.0000000E+0	-2.7094884E+0	475.54704E-6	0.0000000E+0	0.0000000E+0	-19.019932E-6	-16.334585E-6	-3.0035958E+0	-43.418255E-12	9.9999237E+0	-6.1904090E-3	-5.8598993E-3	-1.0743523E-3	-1.2898121E-3	-7.1547450E-3	-10.206623E-3	-135.67840E-3	0.0000000E+0	0.0000000E+0	0.0000000E+0	386.25367E-9	-44.008686E-9	-356.94256E-9	0.0000000E+0	0.0000000E+0	-11.558092E+0	504.01833E-6	0.0000000E+0	0.0000000E+0	-22.308133E-6	-48.006645E-6	-11.402149E+0
