Experiment	bias spectroscopy	
Saved Date	11.02.2025 13:22:01	
User		
Date		
X (m)	-17.6529E-9	
Y (m)	-176.062E-9	
Z (m)	-337.678E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-337.01E-9	
Start time	11.02.2025 13:13:55	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Input 2 (V)	Input 3 (V)	Input 4 (V)	Input 5 (V)	Input 6 (V)	Input 7 (V)	Input 8 (V)	Bias (V)	Output 2 (V)	Output 3 (V)	Output 4 (V)	X (m)	Y (m)	Z (m)	Output 8 (V)	Fast Output 1 (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	OC D1 X (m)	OC D1 Y (m)	OC D2 Phase (deg)	Current [bwd] (A)	Input 2 [bwd] (V)	Input 3 [bwd] (V)	Input 4 [bwd] (V)	Input 5 [bwd] (V)	Input 6 [bwd] (V)	Input 7 [bwd] (V)	Input 8 [bwd] (V)	Bias [bwd] (V)	Output 2 [bwd] (V)	Output 3 [bwd] (V)	Output 4 [bwd] (V)	X [bwd] (m)	Y [bwd] (m)	Z [bwd] (m)	Output 8 [bwd] (V)	Fast Output 1 [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)	OC D1 X [bwd] (m)	OC D1 Y [bwd] (m)	OC D2 Phase [bwd] (deg)
-3.0000000E+0	-7.9068672E-9	9.9999237E+0	-6.2067863E-3	-5.9133987E-3	-1.0920689E-3	-1.1997288E-3	-7.1555194E-3	-1.5823488E+0	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	1.2320417E+0	494.92263E-6	0.0000000E+0	0.0000000E+0	-8.4461954E-6	8.9077157E-6	1.1777397E+0	-6.6075132E-9	9.9999237E+0	-6.2081362E-3	-5.9052650E-3	-1.0802842E-3	-1.1795806E-3	-7.1519343E-3	-1.3226085E+0	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-2.8740644E+0	488.93777E-6	0.0000000E+0	0.0000000E+0	-14.659751E-6	-10.029759E-6	-2.6282518E+0
-2.9849246E+0	-6.2633467E-9	9.9999237E+0	-6.2109488E-3	-5.9107440E-3	-1.0924987E-3	-1.2049383E-3	-7.1576834E-3	-1.2537522E+0	-2.9849246E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	283.08508E-3	493.67204E-6	0.0000000E+0	0.0000000E+0	-11.234652E-6	321.34503E-9	228.82649E-3	-6.3164802E-9	9.9999237E+0	-6.2025762E-3	-5.9024938E-3	-1.0723488E-3	-1.1750773E-3	-7.1440134E-3	-1.2644340E+0	-2.9849246E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-1.1929092E+0	490.49867E-6	0.0000000E+0	0.0000000E+0	-2.7029164E-6	-8.3175792E-6	-1.2772578E+0
-2.9698493E+0	-6.5114261E-9	9.9999237E+0	-6.2058452E-3	-5.9108846E-3	-1.0873559E-3	-1.1966564E-3	-7.1535315E-3	-1.3034059E+0	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	1.4002962E+0	492.11504E-6	0.0000000E+0	0.0000000E+0	-10.079816E-6	3.3226804E-6	1.3159360E+0	-6.6012733E-9	9.9999237E+0	-6.2064938E-3	-5.9088985E-3	-1.0795931E-3	-1.1826172E-3	-7.1441936E-3	-1.3213575E+0	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-676.07349E-3	488.16649E-6	0.0000000E+0	0.0000000E+0	-12.903461E-6	567.00316E-9	-520.28817E-3
-2.9547739E+0	-6.7109909E-9	9.9999237E+0	-6.2022777E-3	-5.9171105E-3	-1.0897232E-3	-1.2008057E-3	-7.1619516E-3	-1.3432924E+0	-2.9547739E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-1.6496967E+0	496.72957E-6	0.0000000E+0	0.0000000E+0	-9.0793765E-6	-9.3130966E-6	-1.6139758E+0	-6.6360779E-9	9.9999237E+0	-6.2069874E-3	-5.9034456E-3	-1.0778700E-3	-1.1788370E-3	-7.1404176E-3	-1.3283204E+0	-2.9547739E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	819.39363E-3	493.20160E-6	0.0000000E+0	0.0000000E+0	-28.380062E-6	1.1383161E-6	825.03808E-3
-2.9396985E+0	-6.3568559E-9	9.9999237E+0	-6.2112277E-3	-5.9112445E-3	-1.0886483E-3	-1.1979409E-3	-7.1598548E-3	-1.2725013E+0	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	616.36204E-3	495.78090E-6	0.0000000E+0	0.0000000E+0	-13.343636E-6	-1.6573199E-6	382.09060E-3	-6.3000187E-9	9.9999237E+0	-6.2018326E-3	-5.9052724E-3	-1.0819284E-3	-1.1845812E-3	-7.1404646E-3	-1.2611413E+0	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	2.5352449E+0	493.35981E-6	0.0000000E+0	0.0000000E+0	-21.728456E-6	4.2303636E-6	2.5108976E+0
-2.9246230E+0	-6.4623173E-9	9.9999237E+0	-6.2073297E-3	-5.9062559E-3	-1.0891304E-3	-1.1897590E-3	-7.1563926E-3	-1.2935826E+0	-2.9246230E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	1.2330652E+0	493.45341E-6	0.0000000E+0	0.0000000E+0	-12.218597E-6	9.2939936E-6	1.4188769E+0	-6.7006347E-9	9.9999237E+0	-6.2105604E-3	-5.9127924E-3	-1.0901067E-3	-1.1857115E-3	-7.1471031E-3	-1.3412218E+0	-2.9246230E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-779.67596E-3	489.64244E-6	0.0000000E+0	0.0000000E+0	-16.089003E-6	-695.28073E-9	-713.96607E-3
-2.9095478E+0	-6.4038894E-9	9.9999237E+0	-6.2107556E-3	-5.9120627E-3	-1.0912112E-3	-1.1996315E-3	-7.1640196E-3	-1.2819041E+0	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	776.16376E-3	497.38050E-6	0.0000000E+0	0.0000000E+0	-10.523037E-6	3.5667006E-6	781.83949E-3	-6.7017298E-9	9.9999237E+0	-6.2094936E-3	-5.9079649E-3	-1.0837150E-3	-1.1856152E-3	-7.1492759E-3	-1.3414428E+0	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-2.0577927E+0	489.01670E-6	0.0000000E+0	0.0000000E+0	-7.8175553E-6	-6.4703004E-6	-2.0820546E+0
-2.8944724E+0	-6.3737846E-9	9.9999237E+0	-6.2139025E-3	-5.9092934E-3	-1.0861823E-3	-1.2004229E-3	-7.1553173E-3	-1.2758839E+0	-2.8944724E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	503.65549E-3	495.02408E-6	0.0000000E+0	0.0000000E+0	-1.6483644E-6	3.3655194E-6	539.46143E-3	-7.8426199E-9	9.9999237E+0	-6.2115565E-3	-5.9109186E-3	-1.0817751E-3	-1.1837030E-3	-7.1499855E-3	-1.5696126E+0	-2.8944724E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	1.3497690E+0	494.22815E-6	0.0000000E+0	0.0000000E+0	-2.1159806E-6	9.6086687E-6	1.2054605E+0
-2.8793969E+0	-6.2509860E-9	9.9999237E+0	-6.2058680E-3	-5.9092822E-3	-1.0762550E-3	-1.1963099E-3	-7.1512456E-3	-1.2513374E+0	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-617.69158E-3	492.86103E-6	0.0000000E+0	0.0000000E+0	-8.7314347E-6	-4.4501303E-6	-671.96357E-3	-7.8584215E-9	9.9999237E+0	-6.2166615E-3	-5.9114536E-3	-1.0859872E-3	-1.1919768E-3	-7.1538491E-3	-1.5727762E+0	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-1.9094023E+0	492.91970E-6	0.0000000E+0	0.0000000E+0	-17.684019E-6	2.3056805E-6	-1.8137457E+0
-2.8643217E+0	-6.1562848E-9	9.9999237E+0	-6.2115453E-3	-5.9124059E-3	-1.0834113E-3	-1.1984732E-3	-7.1536223E-3	-1.2324048E+0	-2.8643217E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-2.4160142E+0	492.71144E-6	0.0000000E+0	0.0000000E+0	-17.530805E-6	-14.149181E-6	-2.1702337E+0	-7.6517077E-9	9.9999237E+0	-6.2154951E-3	-5.9034475E-3	-1.0854877E-3	-1.1909540E-3	-7.1516731E-3	-1.5313866E+0	-2.8643217E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-17.652894E-9	-176.06246E-9	-337.01895E-9	0.0000000E+0	0.0000000E+0	-586.69966E-3	494.45289E-6	0.0000000E+0	0.0000000E+0	-15.119558E-6	-33.972022E-9	-400.96197E-3
