Experiment	bias spectroscopy	
Saved Date	11.02.2025 15:14:03	
User		
Date		
X (m)	-26.5943E-9	
Y (m)	47.6715E-9	
Z (m)	-356.665E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-354.119E-9	
Start time	11.02.2025 15:13:17	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Input 2 (V)	Input 3 (V)	Input 4 (V)	Input 5 (V)	Input 6 (V)	Input 7 (V)	Input 8 (V)	Bias (V)	Output 2 (V)	Output 3 (V)	Output 4 (V)	X (m)	Y (m)	Z (m)	Output 8 (V)	Fast Output 1 (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	OC D1 X (m)	OC D1 Y (m)	OC D2 Phase (deg)	Current [bwd] (A)	Input 2 [bwd] (V)	Input 3 [bwd] (V)	Input 4 [bwd] (V)	Input 5 [bwd] (V)	Input 6 [bwd] (V)	Input 7 [bwd] (V)	Input 8 [bwd] (V)	Bias [bwd] (V)	Output 2 [bwd] (V)	Output 3 [bwd] (V)	Output 4 [bwd] (V)	X [bwd] (m)	Y [bwd] (m)	Z [bwd] (m)	Output 8 [bwd] (V)	Fast Output 1 [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)	OC D1 X [bwd] (m)	OC D1 Y [bwd] (m)	OC D2 Phase [bwd] (deg)
-3.0000000E+0	-8.8522061E-9	9.9999237E+0	-6.1513442E-3	-5.9411088E-3	-1.0059255E-3	-1.1067925E-3	-7.1169995E-3	-1.7712224E+0	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	5.1490788E+0	478.21939E-6	0.0000000E+0	0.0000000E+0	9.9864264E-6	44.745684E-6	4.8548737E+0	-9.3278079E-9	9.9999237E+0	-6.1240601E-3	-5.9255650E-3	-973.12295E-6	-1.1244977E-3	-7.0908279E-3	-1.8661984E+0	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-2.8598278E+0	483.42868E-6	0.0000000E+0	0.0000000E+0	-17.220709E-6	-20.833097E-6	-2.2540359E+0
-2.9698493E+0	-17.160508E-9	9.9999237E+0	-6.1768251E-3	-5.9297588E-3	-993.78708E-6	-1.1276957E-3	-7.1090101E-3	-3.4330566E+0	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-4.9526558E+0	467.62006E-6	0.0000000E+0	0.0000000E+0	17.057282E-6	-30.868236E-6	-4.9466896E+0	-7.7899287E-9	9.9999237E+0	-6.1301216E-3	-5.9283613E-3	-979.01537E-6	-1.1197713E-3	-7.0996601E-3	-1.5587491E+0	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-2.6447446E+0	494.13840E-6	0.0000000E+0	0.0000000E+0	-39.651688E-6	-6.8987702E-6	-2.9388530E+0
-2.9396985E+0	-13.583533E-9	9.9999237E+0	-6.1642951E-3	-5.9329835E-3	-1.0180499E-3	-1.1237157E-3	-7.1230750E-3	-2.7176275E+0	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-3.6542540E+0	487.22807E-6	0.0000000E+0	0.0000000E+0	-25.450556E-6	-18.075452E-6	-3.9486175E+0	-7.6704003E-9	9.9999237E+0	-6.1413408E-3	-5.9270137E-3	-994.01851E-6	-1.1111794E-3	-7.1083158E-3	-1.5348452E+0	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-5.3623590E+0	497.85530E-6	0.0000000E+0	0.0000000E+0	-13.321606E-6	-22.016397E-6	-5.3562508E+0
-2.9095478E+0	-13.884965E-9	9.9999237E+0	-6.1761616E-3	-5.9276633E-3	-991.71454E-6	-1.0914637E-3	-7.0939674E-3	-2.7773941E+0	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	3.1781125E+0	481.85719E-6	0.0000000E+0	0.0000000E+0	-10.155944E-6	26.594382E-6	3.1839790E+0	-8.0690690E-9	9.9999237E+0	-6.1473325E-3	-5.9276465E-3	-997.34496E-6	-1.0976422E-3	-7.1039251E-3	-1.6145388E+0	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	60.857814E-3	495.91844E-6	0.0000000E+0	0.0000000E+0	10.056676E-6	4.4199383E-6	366.80350E-3
-2.8793969E+0	-8.7655820E-9	9.9999237E+0	-6.1533977E-3	-5.9236474E-3	-989.62779E-6	-1.0944061E-3	-7.1058236E-3	-1.7537477E+0	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	2.7244368E+0	481.56834E-6	0.0000000E+0	0.0000000E+0	-7.0080951E-6	-10.678045E-6	3.0301170E+0	-10.270115E-9	9.9999237E+0	-6.1725602E-3	-5.9523084E-3	-1.0072467E-3	-1.1148846E-3	-7.1271923E-3	-2.0545206E+0	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-3.1807222E+0	486.81753E-6	0.0000000E+0	0.0000000E+0	-36.116489E-6	-10.842108E-6	-3.1751330E+0
-2.8492463E+0	-8.0114848E-9	9.9999237E+0	-6.1544864E-3	-5.9143282E-3	-983.84474E-6	-1.1032041E-3	-7.0875268E-3	-1.6030203E+0	-2.8492463E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	3.2521529E+0	482.34136E-6	0.0000000E+0	0.0000000E+0	-25.416641E-6	5.0860217E-6	3.2581174E+0	-11.931206E-9	9.9999237E+0	-6.1794370E-3	-5.9558917E-3	-1.0195186E-3	-1.1412901E-3	-7.1255681E-3	-2.3865588E+0	-2.8492463E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-6.6617546E+0	478.51351E-6	0.0000000E+0	0.0000000E+0	-55.726632E-6	-26.288602E-6	-6.9558496E+0
-2.8190954E+0	-6.2360104E-9	9.9999237E+0	-6.1418875E-3	-5.9196879E-3	-984.20458E-6	-1.1197051E-3	-7.0937248E-3	-1.2481298E+0	-2.8190954E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-1.8748480E+0	504.06513E-6	0.0000000E+0	0.0000000E+0	-6.5086861E-6	14.561099E-6	-1.8690438E+0	-9.4595149E-9	9.9999237E+0	-6.1570574E-3	-5.9475121E-3	-1.0025839E-3	-1.1172078E-3	-7.1210111E-3	-1.8924937E+0	-2.8190954E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-678.17068E-3	482.05096E-6	0.0000000E+0	0.0000000E+0	-38.025064E-6	-7.3684459E-6	-672.35065E-3
-2.7889447E+0	-6.4342363E-9	9.9999237E+0	-6.1497982E-3	-5.9023434E-3	-979.71852E-6	-1.1139539E-3	-7.1013919E-3	-1.2877486E+0	-2.7889447E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	2.4095962E+0	494.71832E-6	0.0000000E+0	0.0000000E+0	-2.5398876E-6	9.8302753E-6	2.4152782E+0	-15.831287E-9	9.9999237E+0	-6.1663780E-3	-5.9610480E-3	-1.0107982E-3	-1.1128819E-3	-7.1359607E-3	-3.1663272E+0	-2.7889447E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	1.2011896E+0	486.29500E-6	0.0000000E+0	0.0000000E+0	-17.502747E-6	10.580723E-6	1.5068288E+0
-2.7587941E+0	-5.3687512E-9	9.9999237E+0	-6.1549987E-3	-5.9125288E-3	-975.31633E-6	-1.1182239E-3	-7.1154060E-3	-1.0747513E+0	-2.7587941E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	713.59986E-3	496.06262E-6	0.0000000E+0	0.0000000E+0	-31.854135E-6	13.722229E-6	419.36970E-3	-16.580030E-9	9.9999237E+0	-6.1611962E-3	-5.9485524E-3	-996.09373E-6	-1.1101520E-3	-7.1093673E-3	-3.3163183E+0	-2.7587941E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	1.6544967E+0	494.94079E-6	0.0000000E+0	0.0000000E+0	-13.181150E-6	8.0572363E-6	1.3598815E+0
-2.7286432E+0	-5.5141118E-9	9.9999237E+0	-6.1597023E-3	-5.9230258E-3	-988.56993E-6	-1.1094487E-3	-7.0952429E-3	-1.1038048E+0	-2.7286432E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	4.6023440E+0	486.28639E-6	0.0000000E+0	0.0000000E+0	8.6488999E-6	10.476348E-6	4.9080048E+0	-13.758529E-9	9.9999237E+0	-6.1525092E-3	-5.9272563E-3	-1.0032615E-3	-1.1080297E-3	-7.0979460E-3	-2.7519379E+0	-2.7286432E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	3.8947713E+0	470.96127E-6	0.0000000E+0	0.0000000E+0	-9.4053075E-6	7.4876098E-6	3.6004643E+0
-2.6984925E+0	-5.2792646E-9	9.9999237E+0	-6.1593959E-3	-5.9235864E-3	-983.83962E-6	-1.1103948E-3	-7.1120299E-3	-1.0568671E+0	-2.6984925E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-799.87597E-3	491.60037E-6	0.0000000E+0	0.0000000E+0	-6.6318980E-6	-29.517259E-6	-1.0941473E+0	-15.961561E-9	9.9999237E+0	-6.1485851E-3	-5.9270198E-3	-986.23149E-6	-1.1048749E-3	-7.0935311E-3	-3.1922965E+0	-2.6984925E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-94.068386E-3	489.96770E-6	0.0000000E+0	0.0000000E+0	-45.527500E-6	387.43960E-9	211.53338E-3
-2.6683416E+0	-5.1620801E-9	9.9999237E+0	-6.1771022E-3	-5.9435857E-3	-993.90536E-6	-1.1162262E-3	-7.1058618E-3	-1.0334368E+0	-2.6683416E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-4.9355445E+0	491.67994E-6	0.0000000E+0	0.0000000E+0	-39.715258E-6	14.205790E-6	-4.6300287E+0	-1.7542708E-9	9.9999237E+0	-6.1605186E-3	-5.9413551E-3	-998.48432E-6	-1.1124890E-3	-7.0837541E-3	-352.31549E-3	-2.6683416E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	4.9780288E+0	479.57205E-6	0.0000000E+0	0.0000000E+0	-26.717304E-6	7.2600706E-6	4.9839673E+0
-2.6381910E+0	-4.4472590E-9	9.9999237E+0	-6.1668064E-3	-5.9393095E-3	-996.47266E-6	-1.1114273E-3	-7.0917816E-3	-890.53786E-3	-2.6381910E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	9.0600920E+0	482.99806E-6	0.0000000E+0	0.0000000E+0	-13.806914E-6	54.199478E-6	8.7657871E+0	-1.5647610E-9	9.9999237E+0	-6.1382181E-3	-5.9311395E-3	-987.18517E-6	-1.0924264E-3	-7.0859501E-3	-314.30790E-3	-2.6381910E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	6.1845207E+0	484.41649E-6	0.0000000E+0	0.0000000E+0	-9.7584016E-6	19.494732E-6	5.8901906E+0
-2.6080401E+0	-6.4713719E-9	9.9999237E+0	-6.1446712E-3	-5.9178607E-3	-986.02299E-6	-1.0953686E-3	-7.0941010E-3	-1.2951589E+0	-2.6080401E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-4.1008525E+0	478.24151E-6	0.0000000E+0	0.0000000E+0	-11.978970E-6	-25.361887E-6	-3.4950511E+0	-1.7937306E-9	9.9999237E+0	-6.1438433E-3	-5.9302598E-3	-988.55968E-6	-1.1270803E-3	-7.1343016E-3	-360.06895E-3	-2.6080401E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	6.8344350E+0	480.58186E-6	0.0000000E+0	0.0000000E+0	-25.656029E-6	20.184276E-6	6.5398698E+0
-2.5778894E+0	-5.5250675E-9	9.9999237E+0	-6.1816103E-3	-5.9158020E-3	-968.42321E-6	-1.1071409E-3	-7.0814183E-3	-1.1059623E+0	-2.5778894E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-1.4395823E+0	484.31684E-6	0.0000000E+0	0.0000000E+0	-36.987418E-6	-207.85653E-9	-1.4337573E+0	-996.18980E-12	9.9999237E+0	-6.1682332E-3	-5.9344810E-3	-1.0241610E-3	-1.1627210E-3	-7.1239397E-3	-200.65412E-3	-2.5778894E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	1.0936025E+0	493.84305E-6	0.0000000E+0	0.0000000E+0	-1.0339600E-6	11.534554E-6	799.16763E-3
-2.5477386E+0	-1.0709033E-9	9.9999237E+0	-6.1699129E-3	-5.9279213E-3	-970.09656E-6	-1.0911496E-3	-7.0857340E-3	-215.59408E-3	-2.5477388E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	3.9172719E+0	486.75618E-6	0.0000000E+0	0.0000000E+0	23.178336E-6	41.227187E-6	3.6229389E+0	-1.0743136E-9	9.9999237E+0	-6.1704088E-3	-5.9386925E-3	-1.0040969E-3	-1.1351623E-3	-7.1154111E-3	-216.26993E-3	-2.5477388E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	3.0123751E+0	476.87101E-6	0.0000000E+0	0.0000000E+0	-14.263150E-6	10.064112E-6	3.3183632E+0
-2.5175879E+0	-1.0549174E-9	9.9999237E+0	-6.1592967E-3	-5.9167659E-3	-966.19414E-6	-1.0860495E-3	-7.0785447E-3	-212.40455E-3	-2.5175879E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	3.1218510E+0	481.94110E-6	0.0000000E+0	0.0000000E+0	-17.893290E-6	11.334175E-6	3.1273060E+0	-1.3030466E-9	9.9999237E+0	-6.1883749E-3	-5.9333597E-3	-1.0246417E-3	-1.1200561E-3	-7.1209515E-3	-261.99800E-3	-2.5175879E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	4.0839677E+0	490.22830E-6	0.0000000E+0	0.0000000E+0	-8.3805635E-6	12.505049E-6	4.3895221E+0
-2.4874372E+0	-974.71708E-12	9.9999237E+0	-6.1512631E-3	-5.9245350E-3	-976.80278E-6	-1.1423670E-3	-7.1095149E-3	-196.36719E-3	-2.4874372E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-878.45683E-3	477.45212E-6	0.0000000E+0	0.0000000E+0	-47.348847E-6	-3.1331322E-6	-572.89743E-3	-1.1820243E-9	9.9999237E+0	-6.1744689E-3	-5.9510828E-3	-1.0122516E-3	-1.1144575E-3	-7.1351421E-3	-237.81656E-3	-2.4874372E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	5.4342451E+0	488.99505E-6	0.0000000E+0	0.0000000E+0	-12.688865E-6	31.461223E-6	5.7400303E+0
-2.4572864E+0	-941.79842E-12	9.9999237E+0	-6.1665280E-3	-5.9209061E-3	-991.17402E-6	-1.1297518E-3	-7.0968959E-3	-189.79152E-3	-2.4572864E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-731.19956E-3	490.42515E-6	0.0000000E+0	0.0000000E+0	11.811421E-6	6.0136176E-6	-725.52246E-3	-865.82813E-12	9.9999237E+0	-6.1412379E-3	-5.9154574E-3	-1.0068563E-3	-1.0971121E-3	-7.1130092E-3	-174.60205E-3	-2.4572864E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-5.3111234E+0	477.45041E-6	0.0000000E+0	0.0000000E+0	-12.220738E-6	-10.672812E-6	-5.0050011E+0
-2.4271357E+0	-870.31965E-12	9.9999237E+0	-6.1701750E-3	-5.9195315E-3	-1.0050659E-3	-1.1271654E-3	-7.1170335E-3	-175.50626E-3	-2.4271357E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-4.2061505E+0	491.88605E-6	0.0000000E+0	0.0000000E+0	3.2687026E-6	-44.906301E-6	-4.5005612E+0	-754.61642E-12	9.9999237E+0	-6.1334916E-3	-5.9363632E-3	-980.39373E-6	-1.1041947E-3	-7.1041631E-3	-152.36883E-3	-2.4271357E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-4.9975643E+0	493.13752E-6	0.0000000E+0	0.0000000E+0	13.953441E-6	-14.905781E-6	-4.9918637E+0
-2.3969851E+0	-882.27620E-12	9.9999237E+0	-6.1863493E-3	-5.9333066E-3	-1.0025126E-3	-1.1396256E-3	-7.1509057E-3	-177.89154E-3	-2.3969848E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	1.4194927E+0	500.95649E-6	0.0000000E+0	0.0000000E+0	-51.870888E-6	14.242204E-6	1.1253104E+0	-971.32236E-12	9.9999237E+0	-6.1327526E-3	-5.9288125E-3	-980.77138E-6	-1.1134580E-3	-7.1176374E-3	-195.68041E-3	-2.3969848E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-26.594286E-9	47.671477E-9	-355.93618E-9	0.0000000E+0	0.0000000E+0	-3.6310952E+0	497.66945E-6	0.0000000E+0	0.0000000E+0	-5.5620412E-6	-6.0087068E-6	-3.9251530E+0
