Experiment	bias spectroscopy	
Saved Date	11.02.2025 15:21:03	
User		
Date		
X (m)	74.1958E-9	
Y (m)	-146.224E-9	
Z (m)	-357.917E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-360.77E-9	
Start time	11.02.2025 15:20:17	
Filter type	None	
Order		
Cutoff frq		
Z (m)	-360.32998E-9	

[DATA]
Bias calc (V)	Current (A)	Input 2 (V)	Input 3 (V)	Input 4 (V)	Input 5 (V)	Input 6 (V)	Input 7 (V)	Input 8 (V)	Bias (V)	Output 2 (V)	Output 3 (V)	Output 4 (V)	X (m)	Y (m)	Z (m)	Output 8 (V)	Fast Output 1 (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	OC D1 X (m)	OC D1 Y (m)	OC D2 Phase (deg)	Current [bwd] (A)	Input 2 [bwd] (V)	Input 3 [bwd] (V)	Input 4 [bwd] (V)	Input 5 [bwd] (V)	Input 6 [bwd] (V)	Input 7 [bwd] (V)	Input 8 [bwd] (V)	Bias [bwd] (V)	Output 2 [bwd] (V)	Output 3 [bwd] (V)	Output 4 [bwd] (V)	X [bwd] (m)	Y [bwd] (m)	Z [bwd] (m)	Output 8 [bwd] (V)	Fast Output 1 [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)	OC D1 X [bwd] (m)	OC D1 Y [bwd] (m)	OC D2 Phase [bwd] (deg)
-3.0000000E+0	-1.7956424E-9	9.9999237E+0	-6.1401343E-3	-5.9032426E-3	-1.0346909E-3	-1.1370875E-3	-7.1948497E-3	-360.45769E-3	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	2.3381519E+0	483.93084E-6	0.0000000E+0	0.0000000E+0	-56.999612E-6	10.223861E-6	2.6436949E+0	-1.0311073E-9	9.9999237E+0	-6.1741639E-3	-5.9286128E-3	-1.0195948E-3	-1.1314264E-3	-7.1584182E-3	-207.63156E-3	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	971.89415E-3	479.79422E-6	0.0000000E+0	0.0000000E+0	-6.4429196E-6	-2.3966861E-6	677.76942E-3
-2.9698493E+0	-1.2574497E-9	9.9999237E+0	-6.1508436E-3	-5.9156115E-3	-1.0339839E-3	-1.1392530E-3	-7.2105397E-3	-252.87139E-3	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-3.7672470E+0	477.62480E-6	0.0000000E+0	0.0000000E+0	-1.1030951E-6	-15.887328E-6	-3.4613295E+0	-1.2087460E-9	9.9999237E+0	-6.1616618E-3	-5.9098257E-3	-1.0151062E-3	-1.1188914E-3	-7.1495897E-3	-243.13402E-3	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-5.3995843E+0	485.11388E-6	0.0000000E+0	0.0000000E+0	6.2462968E-6	-13.220057E-6	-5.3941717E+0
-2.9396985E+0	-1.0777835E-9	9.9999237E+0	-6.1727343E-3	-5.9370268E-3	-1.0284703E-3	-1.1416613E-3	-7.1959384E-3	-216.95930E-3	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-4.0137033E+0	489.41560E-6	0.0000000E+0	0.0000000E+0	-21.246171E-6	-29.490840E-6	-4.3088531E+0	-851.44963E-12	9.9999237E+0	-6.1647873E-3	-5.9177233E-3	-1.0182088E-3	-1.1321005E-3	-7.1424828E-3	-171.71569E-3	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-1.5527734E+0	480.48736E-6	0.0000000E+0	0.0000000E+0	-21.478427E-6	-5.0171652E-6	-1.2468812E+0
-2.9095478E+0	-1.1978338E-9	9.9999237E+0	-6.1234599E-3	-5.9010582E-3	-1.0168762E-3	-1.1251094E-3	-7.1636061E-3	-240.95279E-3	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	1.2495177E+0	493.76849E-6	0.0000000E+0	0.0000000E+0	-23.304325E-6	5.5658652E-6	1.2551163E+0	-760.97439E-12	9.9999237E+0	-6.1794291E-3	-5.9251669E-3	-1.0253893E-3	-1.1444053E-3	-7.1497369E-3	-153.63374E-3	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-1.6522547E+0	473.82657E-6	0.0000000E+0	0.0000000E+0	-11.171855E-6	4.5374645E-6	-1.9467609E+0
-2.8793969E+0	-996.76467E-12	9.9999237E+0	-6.1246073E-3	-5.9017474E-3	-1.0051791E-3	-1.0943565E-3	-7.1866480E-3	-200.76492E-3	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	4.1025190E+0	487.98369E-6	0.0000000E+0	0.0000000E+0	-18.698487E-6	10.627791E-6	3.8081818E+0	-1.0237439E-9	9.9999237E+0	-6.1659496E-3	-5.8895759E-3	-1.0195338E-3	-1.1191610E-3	-7.1364748E-3	-206.16569E-3	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-1.6767670E+0	490.71014E-6	0.0000000E+0	0.0000000E+0	-3.4878201E-6	-24.041728E-6	-1.9711165E+0
-2.8492463E+0	-742.92300E-12	9.9999237E+0	-6.1583645E-3	-5.9125149E-3	-1.0232035E-3	-1.1156579E-3	-7.2036274E-3	-150.01932E-3	-2.8492463E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	7.0559549E+0	480.31096E-6	0.0000000E+0	0.0000000E+0	1.7424935E-6	20.789877E-6	6.7615676E+0	-944.11201E-12	9.9999237E+0	-6.1750589E-3	-5.9164581E-3	-1.0165952E-3	-1.1296819E-3	-7.1201390E-3	-190.24509E-3	-2.8492463E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	98.723568E-3	483.42563E-6	0.0000000E+0	0.0000000E+0	4.1058397E-6	-6.6075927E-6	704.43600E-3
-2.8190954E+0	-816.67445E-12	9.9999237E+0	-6.1274860E-3	-5.8916626E-3	-1.0086301E-3	-1.1052958E-3	-7.1741664E-3	-164.77691E-3	-2.8190954E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-6.9018936E+0	482.98269E-6	0.0000000E+0	0.0000000E+0	-22.039070E-6	-18.932287E-6	-7.1960726E+0	-857.55714E-12	9.9999237E+0	-6.1749127E-3	-5.9095905E-3	-1.0211003E-3	-1.1116511E-3	-7.1676243E-3	-172.94440E-3	-2.8190954E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-2.6658554E+0	479.32193E-6	0.0000000E+0	0.0000000E+0	-13.391656E-6	6.8373156E-6	-2.9601905E+0
-2.7889447E+0	-517.40617E-12	9.9999237E+0	-6.1342278E-3	-5.9002140E-3	-1.0120557E-3	-1.1161944E-3	-7.1858228E-3	-104.95094E-3	-2.7889447E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-1.6209087E+0	484.66059E-6	0.0000000E+0	0.0000000E+0	-36.222780E-6	-8.3345476E-6	-1.6153313E+0	-886.04368E-12	9.9999237E+0	-6.1586276E-3	-5.9007313E-3	-992.23584E-6	-1.1168073E-3	-7.1363854E-3	-178.64393E-3	-2.7889447E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-3.1160953E+0	471.57260E-6	0.0000000E+0	0.0000000E+0	-28.221400E-6	-16.305859E-6	-3.1103656E+0
-2.7587941E+0	-409.08554E-12	9.9999237E+0	-6.1683487E-3	-5.9266649E-3	-1.0463155E-3	-1.1647771E-3	-7.2162948E-3	-83.286926E-3	-2.7587941E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-1.3847373E+0	474.57527E-6	0.0000000E+0	0.0000000E+0	-1.6769478E-6	-15.337810E-6	-1.0783356E+0	-857.53454E-12	9.9999237E+0	-6.1722286E-3	-5.9116837E-3	-1.0050201E-3	-1.1152661E-3	-7.1564550E-3	-172.93237E-3	-2.7587941E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	2.0780773E+0	469.36146E-6	0.0000000E+0	0.0000000E+0	-16.426284E-6	-1.6904690E-6	1.7836193E+0
-2.7286432E+0	-410.40743E-12	9.9999237E+0	-6.1366754E-3	-5.9147617E-3	-1.0615349E-3	-1.1551615E-3	-7.1859653E-3	-83.549917E-3	-2.7286432E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	-4.4155841E+0	480.59376E-6	0.0000000E+0	0.0000000E+0	-3.9254282E-6	-18.522654E-6	-3.5098364E+0	-848.54934E-12	9.9999237E+0	-6.1777588E-3	-5.8925808E-3	-1.0280367E-3	-1.1471824E-3	-7.1769548E-3	-171.13997E-3	-2.7286432E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	74.195817E-9	-146.22441E-9	-358.81200E-9	0.0000000E+0	0.0000000E+0	7.4718928E+0	486.23374E-6	0.0000000E+0	0.0000000E+0	-12.446137E-6	8.9829919E-6	7.7774172E+0
