Experiment	bias spectroscopy	
Saved Date	11.02.2025 15:22:35	
User		
Date		
X (m)	-166.463E-9	
Y (m)	-207.274E-9	
Z (m)	-342.195E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-337.504E-9	
Start time	11.02.2025 15:21:49	
Filter type	None	
Order		
Cutoff frq		
Z (m)	-337.26272E-9	

[DATA]
Bias calc (V)	Current (A)	Input 2 (V)	Input 3 (V)	Input 4 (V)	Input 5 (V)	Input 6 (V)	Input 7 (V)	Input 8 (V)	Bias (V)	Output 2 (V)	Output 3 (V)	Output 4 (V)	X (m)	Y (m)	Z (m)	Output 8 (V)	Fast Output 1 (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	OC D1 X (m)	OC D1 Y (m)	OC D2 Phase (deg)	Current [bwd] (A)	Input 2 [bwd] (V)	Input 3 [bwd] (V)	Input 4 [bwd] (V)	Input 5 [bwd] (V)	Input 6 [bwd] (V)	Input 7 [bwd] (V)	Input 8 [bwd] (V)	Bias [bwd] (V)	Output 2 [bwd] (V)	Output 3 [bwd] (V)	Output 4 [bwd] (V)	X [bwd] (m)	Y [bwd] (m)	Z [bwd] (m)	Output 8 [bwd] (V)	Fast Output 1 [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)	OC D1 X [bwd] (m)	OC D1 Y [bwd] (m)	OC D2 Phase [bwd] (deg)
-3.0000000E+0	-21.061316E-9	9.9999237E+0	-6.1828103E-3	-5.9304084E-3	-1.0094516E-3	-1.1290093E-3	-7.1800421E-3	-4.2128601E+0	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	4.6480083E+0	488.62858E-6	0.0000000E+0	0.0000000E+0	-11.923493E-6	5.9669164E-6	5.2537999E+0	-23.122560E-9	9.9999237E+0	-6.2219240E-3	-5.9332545E-3	-1.0251795E-3	-1.1306788E-3	-7.2273063E-3	-4.6248708E+0	-3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	4.0380077E+0	468.90732E-6	0.0000000E+0	0.0000000E+0	2.5255993E-6	24.336356E-6	4.0435705E+0
-2.9698493E+0	-20.634575E-9	9.9999237E+0	-6.1775614E-3	-5.9182690E-3	-1.0100785E-3	-1.1147549E-3	-7.1845576E-3	-4.1275506E+0	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	5.2475677E+0	477.76868E-6	0.0000000E+0	0.0000000E+0	-47.576548E-6	21.842918E-6	4.9534335E+0	-22.432168E-9	9.9999237E+0	-6.1989822E-3	-5.8991914E-3	-1.0122897E-3	-1.1045049E-3	-7.2091268E-3	-4.4864454E+0	-2.9698493E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	598.85889E-3	483.73078E-6	0.0000000E+0	0.0000000E+0	-13.434640E-6	-4.2000388E-6	304.63776E-3
-2.9396985E+0	-24.448212E-9	9.9999237E+0	-6.1765825E-3	-5.9157321E-3	-996.05939E-6	-1.0902582E-3	-7.1777408E-3	-4.8899031E+0	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	1.2687050E+0	483.29213E-6	0.0000000E+0	0.0000000E+0	-25.990879E-6	30.392282E-6	1.2744104E+0	-13.789605E-9	9.9999237E+0	-6.1934837E-3	-5.9071374E-3	-1.0218913E-3	-1.0841166E-3	-7.2097052E-3	-2.7581120E+0	-2.9396985E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-1.1622013E+0	492.64275E-6	0.0000000E+0	0.0000000E+0	28.336081E-6	-5.5350674E-6	-856.30953E-3
-2.9095478E+0	-23.042858E-9	9.9999237E+0	-6.1920052E-3	-5.9193447E-3	-989.22220E-6	-1.0863596E-3	-7.1618869E-3	-4.6089797E+0	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	115.31620E-3	485.70955E-6	0.0000000E+0	0.0000000E+0	-5.9475660E-6	-3.6837644E-6	121.13351E-3	-11.253785E-9	9.9999237E+0	-6.1783432E-3	-5.9033600E-3	-1.0061176E-3	-1.0837084E-3	-7.1891556E-3	-2.2511768E+0	-2.9095478E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-5.1922760E+0	487.61879E-6	0.0000000E+0	0.0000000E+0	-30.774027E-6	-4.4058434E-6	-4.8865266E+0
-2.8793969E+0	-22.654348E-9	9.9999237E+0	-6.1798058E-3	-5.9219501E-3	-986.67783E-6	-1.1044719E-3	-7.1767629E-3	-4.5313072E+0	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-5.4063673E+0	499.44979E-6	0.0000000E+0	0.0000000E+0	-25.468506E-6	-34.592864E-6	-5.4005818E+0	-10.641527E-9	9.9999237E+0	-6.1756060E-3	-5.9050014E-3	-995.29908E-6	-1.0860482E-3	-7.1892953E-3	-2.1287823E+0	-2.8793969E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-6.2676978E+0	466.29302E-6	0.0000000E+0	0.0000000E+0	-19.084324E-6	-33.586501E-6	-6.5622330E+0
-2.8492463E+0	-20.403592E-9	9.9999237E+0	-6.1657396E-3	-5.9020463E-3	-972.95508E-6	-1.1297264E-3	-7.1804998E-3	-4.0813799E+0	-2.8492463E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	5.6571856E+0	476.22141E-6	0.0000000E+0	0.0000000E+0	-46.981535E-6	30.718304E-6	5.3627815E+0	-10.309169E-9	9.9999237E+0	-6.1849952E-3	-5.9182970E-3	-1.0014280E-3	-1.1017991E-3	-7.2172559E-3	-2.0623407E+0	-2.8492463E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	2.5648911E+0	485.67884E-6	0.0000000E+0	0.0000000E+0	37.622638E-6	243.00684E-9	2.5707242E+0
-2.8190954E+0	-20.212276E-9	9.9999237E+0	-6.1871107E-3	-5.9096133E-3	-997.84089E-6	-1.1375593E-3	-7.2087287E-3	-4.0431437E+0	-2.8190954E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-21.332949E-3	483.66041E-6	0.0000000E+0	0.0000000E+0	-3.9542388E-6	-12.543236E-6	-315.54213E-3	-8.9962136E-9	9.9999237E+0	-6.1952784E-3	-5.9312806E-3	-1.0222854E-3	-1.1202545E-3	-7.2364821E-3	-1.7998753E+0	-2.8190954E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	2.2914829E+0	489.88685E-6	0.0000000E+0	0.0000000E+0	-8.8438874E-6	23.229175E-6	2.5970526E+0
-2.7889447E+0	-19.761760E-9	9.9999237E+0	-6.1759502E-3	-5.9202244E-3	-992.87159E-6	-1.1239395E-3	-7.1974094E-3	-3.9530818E+0	-2.7889447E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-3.2840869E+0	479.12030E-6	0.0000000E+0	0.0000000E+0	-5.8421033E-6	-31.910444E-6	-3.2783632E+0	-9.7792112E-9	9.9999237E+0	-6.1855866E-3	-5.9213713E-3	-1.0186144E-3	-1.1133626E-3	-7.2256685E-3	-1.9564010E+0	-2.7889447E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-638.28570E-3	474.98712E-6	0.0000000E+0	0.0000000E+0	-33.904806E-6	-13.266795E-6	-632.46208E-3
-2.7587941E+0	-19.487794E-9	9.9999237E+0	-6.1561991E-3	-5.8960188E-3	-997.90446E-6	-1.1177482E-3	-7.1813646E-3	-3.8983095E+0	-2.7587941E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-4.2299733E+0	475.26587E-6	0.0000000E+0	0.0000000E+0	5.5359615E-6	-18.917435E-6	-4.5241928E+0	-9.3347783E-9	9.9999237E+0	-6.1876411E-3	-5.9409626E-3	-1.0288213E-3	-1.1379763E-3	-7.2491304E-3	-1.8675665E+0	-2.7587941E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-5.0435038E+0	473.33335E-6	0.0000000E+0	0.0000000E+0	10.453563E-6	-19.973970E-6	-5.3376422E+0
-2.7286432E+0	-19.378417E-9	9.9999237E+0	-6.1690011E-3	-5.9031295E-3	-984.30132E-6	-1.1173185E-3	-7.1800118E-3	-3.8764386E+0	-2.7286432E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	-398.27764E-3	459.95787E-6	0.0000000E+0	0.0000000E+0	15.276293E-6	-42.475222E-9	-392.53032E-3	-8.9040713E-9	9.9999237E+0	-6.1863735E-3	-5.9444238E-3	-1.0216166E-3	-1.1287053E-3	-7.2379075E-3	-1.7814680E+0	-2.7286432E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0	-166.46314E-9	-207.27366E-9	-342.58633E-9	0.0000000E+0	0.0000000E+0	4.1942811E+0	475.69696E-6	0.0000000E+0	0.0000000E+0	14.332300E-6	23.166562E-6	4.1998801E+0
