% STS tools Version: 6.6.0
%  File type: Histogram Gap and Doping
% Export Date: 2025-04-29 13:57
gap doping
0.96 p
1.67 p
3.79 p
3.2 p
2.17 p
2.83 p
2.83 p
3.58 p
2.35 p
2.49 p
1.63 n
1.67 p
1.91 p
0.45 p
3.73 p
3.05 p
2.52 n
3.66 n
2.11 n
3.2 p
2.24 neutro
1.38 p
2.17 p
4.24 p
2.94 n
0.43 n
2.72 p
3.28 p
3.78 p
4.02 n
1.96 p
3.11 p
0.5 p
1.78 p
1.04 p
1.72 n
1.22 p
4.22 p
2.3 p
1.46 n
1.05 p
3.05 p
2.39 p
2.88 p
1.14 p
3.65 p
1.35 n
1.27 p
3.69 p
1.82 n
2.14 p
3.03 p
1.04 n
0.67 neutro
1.98 p
2.46 p
3.75 p
2.66 p
0.99 p
1.72 n
2.68 p
2.25 p
2.9 p
3.9 n
1.22 p
1.29 p
1.33 p
2.34 p
3.91 n
0.92 p
2.24 p
0.05 p
2.98 n
3.88 p
2.93 n
2.84 p
2.4 p
2.64 p
2.19 p
1.9 p
3.22 p
3.89 n
3.0 p
1.42 p
2.3 p
3.72 neutro
2.85 p
1.82 p
1.3 p
2.93 p
0.9 p
0.84 p
2.59 p
1.69 p
3.47 n
1.17 n
0.53 p
1.89 p
1.28 p
0.61 n
2.29 n
2.24 p
3.67 p
1.03 p
4.21 p
1.01 p
1.33 p
4.68 n
3.42 n
2.31 n
1.13 p
3.28 p
1.08 p
2.55 p
0.94 n
3.38 p
1.34 n
3.39 n
1.91 n
1.28 p
2.1 p
0.68 n
4.22 n
2.29 p
3.39 p
4.41 p
3.26 p
1.42 n
2.67 p
3.04 n
2.57 n
2.49 p
1.43 p
0.81 p
1.08 p
1.92 p
3.09 p
2.33 p
3.36 p
0.43 p
2.88 p
3.15 p
2.93 n
3.75 p
1.94 n
1.0 p
3.76 p
0.83 p
1.95 p
3.54 p
4.17 p
3.16 p
2.55 n
3.15 p
2.44 p
1.71 n
1.28 p
0.91 p
4.1 p
1.88 n
1.53 n
3.3 n
3.39 n
0.05 neutro
2.38 p
2.19 p
1.25 p
0.7 p
2.25 p
2.63 p
1.72 p
2.73 p
1.82 p
0.9 p
1.98 p
1.79 p
1.08 neutro
4.08 n
2.61 p
1.17 p
3.71 p
1.12 p
2.79 n
3.17 p
3.37 n
0.51 p
0.61 p
3.23 n
0.33 p
1.2 neutro
3.2 neutro
3.2 neutro
2.55 p
2.6 p
3.89 p
3.19 p
3.51 p
0.58 n
3.26 n
0.66 n
2.89 p
3.2 p
3.64 p
3.29 p
0.24 n
2.98 p
2.68 n
2.1 n
0.48 neutro
3.82 p
3.0 p
0.94 n
2.41 p
0.7 p
0.63 p
2.23 p
2.22 p
2.88 p
0.31 n
1.66 p
2.46 p
3.03 n
3.0 p
3.42 n
3.04 p
