# Single Point Spectroscopy       
# 
# Sample                          Polesi_dopada
# Data set                        18/01/2024
# Creation Comment                
# Ramp start value                -4.000e+000 V
# Ramp end value                  4.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 -3.337e+001, 1.385e+002 [nm]
# Averaged curves                 1-10
# 
# 
# Ramp value [V]                             I(V)
# --------------             --------------------
    -4.0000e+000             -1.395668392599e-009
    -3.9598e+000             -1.343912466152e-009
    -3.9196e+000             -1.331349174447e-009
    -3.8794e+000             -1.274309100531e-009
    -3.8392e+000             -1.218972287391e-009
    -3.7990e+000             -1.199472108913e-009
    -3.7588e+000             -1.176892313049e-009
    -3.7186e+000             -1.154260048494e-009
    -3.6784e+000             -1.077790865247e-009
    -3.6382e+000             -1.072963273037e-009
    -3.5980e+000             -1.049199561856e-009
    -3.5578e+000             -1.017090477169e-009
    -3.5176e+000             -9.722021390094e-010
    -3.4774e+000             -9.084600342464e-010
    -3.4372e+000             -8.772939595654e-010
    -3.3970e+000             -8.600053093712e-010
    -3.3568e+000             -8.341678103365e-010
    -3.3166e+000             -7.816513929999e-010
    -3.2764e+000             -7.567119009781e-010
    -3.2362e+000             -6.839932155135e-010
    -3.1960e+000             -6.452450368004e-010
    -3.1558e+000             -6.271739162209e-010
    -3.1156e+000             -5.377223189034e-010
    -3.0754e+000             -5.166638458105e-010
    -3.0352e+000             -5.211904062539e-010
    -2.9950e+000             -5.292363135382e-010
    -2.9548e+000             -4.857674190809e-010
    -2.9146e+000             -4.187502149803e-010
    -2.8744e+000             -3.844563212791e-010
    -2.8342e+000             -3.894927622164e-010
    -2.7940e+000             -3.797169005260e-010
    -2.7538e+000             -3.421065396217e-010
    -2.7136e+000             -3.303467936584e-010
    -2.6734e+000             -3.230790236849e-010
    -2.6332e+000             -3.142011051390e-010
    -2.5930e+000             -2.556429072484e-010
    -2.5528e+000             -2.510874669085e-010
    -2.5126e+000             -2.270727340253e-010
    -2.4724e+000             -2.233213982767e-010
    -2.4322e+000             -2.061979923201e-010
    -2.3920e+000             -2.116225980054e-010
    -2.3518e+000             -2.019371416324e-010
    -2.3116e+000             -1.778123207442e-010
    -2.2714e+000             -1.696903747036e-010
    -2.2312e+000             -1.542180319646e-010
    -2.1910e+000             -1.570353467296e-010
    -2.1508e+000             -1.378448107429e-010
    -2.1106e+000             -1.578668760610e-010
    -2.0704e+000             -1.499046419614e-010
    -2.0302e+000             -1.435205657147e-010
    -1.9899e+000             -1.269464053199e-010
    -1.9497e+000             -1.116660914925e-010
    -1.9095e+000             -1.042740631644e-010
    -1.8693e+000             -1.022924012369e-010
    -1.8291e+000             -9.563586375695e-011
    -1.7889e+000             -8.614969657117e-011
    -1.7487e+000             -7.826984846138e-011
    -1.7085e+000             -7.133485670824e-011
    -1.6683e+000             -6.650075805391e-011
    -1.6281e+000             -6.726236449259e-011
    -1.5879e+000             -6.066105816803e-011
    -1.5477e+000             -5.620958950863e-011
    -1.5075e+000             -5.312354935349e-011
    -1.4673e+000             -4.927764824118e-011
    -1.4271e+000             -4.276097819430e-011
    -1.3869e+000             -3.798058967459e-011
    -1.3467e+000             -3.336619124084e-011
    -1.3065e+000             -2.877678701518e-011
    -1.2663e+000             -2.447680677448e-011
    -1.2261e+000             -2.081498878694e-011
    -1.1859e+000             -1.823733804322e-011
    -1.1457e+000             -1.688826891807e-011
    -1.1055e+000             -1.478481969985e-011
    -1.0653e+000             -1.243672211195e-011
    -1.0251e+000             -1.123618334480e-011
    -9.8492e-001             -9.596512199717e-012
    -9.4472e-001             -8.601267481491e-012
    -9.0452e-001             -7.072145391593e-012
    -8.6432e-001             -5.968284252637e-012
    -8.2412e-001             -4.912343174959e-012
    -7.8392e-001             -4.117884253497e-012
    -7.4372e-001             -3.442051288507e-012
    -7.0352e-001             -2.630334684448e-012
    -6.6332e-001             -1.750332584159e-012
    -6.2312e-001             -1.413338739633e-012
    -5.8291e-001             -1.078318214988e-012
    -5.4271e-001             -6.934233468936e-013
    -5.0251e-001             -4.706844624204e-013
    -4.6231e-001             -3.053820369089e-013
    -4.2211e-001             -1.689452295879e-013
    -3.8191e-001             -9.417263424617e-014
    -3.4171e-001             -6.456408484124e-014
    -3.0151e-001              7.272097520968e-015
    -2.6131e-001              6.034109125065e-014
    -2.2111e-001              8.278547465843e-014
    -1.8090e-001              9.895263433521e-014
    -1.4070e-001              1.115697219988e-013
    -1.0050e-001              1.190096277069e-013
    -6.0302e-002              1.256261525298e-013
    -2.0101e-002              1.356660871936e-013
     2.0100e-002              1.385773212685e-013
     6.0301e-002              1.468399937421e-013
     1.0050e-001              1.443770669923e-013
     1.4070e-001              1.516178444125e-013
     1.8090e-001              1.591673704733e-013
     2.2111e-001              1.624182127000e-013
     2.6131e-001              1.750736828401e-013
     3.0151e-001              1.966019532996e-013
     3.4171e-001              2.202406458450e-013
     3.8191e-001              2.607518144548e-013
     4.2211e-001              3.135879033173e-013
     4.6231e-001              3.749080547776e-013
     5.0251e-001              4.820103635757e-013
     5.4271e-001              5.879524468752e-013
     5.8291e-001              7.223720247631e-013
     6.2312e-001              9.055814108446e-013
     6.6332e-001              1.073096355830e-012
     7.0352e-001              1.307548343881e-012
     7.4372e-001              1.670577329252e-012
     7.8392e-001              2.066966060218e-012
     8.2412e-001              2.425480652238e-012
     8.6432e-001              2.831869246563e-012
     9.0452e-001              3.654395584234e-012
     9.4472e-001              4.219809840929e-012
     9.8492e-001              5.122883494292e-012
     1.0251e+000              6.032369938292e-012
     1.0653e+000              7.650629495644e-012
     1.1055e+000              8.640891554305e-012
     1.1457e+000              1.020083907164e-011
     1.1859e+000              1.123897436496e-011
     1.2261e+000              1.303748478711e-011
     1.2663e+000              1.479476076126e-011
     1.3065e+000              1.508524609846e-011
     1.3467e+000              1.797768120406e-011
     1.3869e+000              2.052043183664e-011
     1.4271e+000              2.188029534241e-011
     1.4673e+000              2.410479567549e-011
     1.5075e+000              2.690275354351e-011
     1.5477e+000              3.082331870552e-011
     1.5879e+000              3.366115258892e-011
     1.6281e+000              3.726876285141e-011
     1.6683e+000              3.983453022689e-011
     1.7085e+000              4.520565776127e-011
     1.7487e+000              5.056057069522e-011
     1.7889e+000              5.508962830256e-011
     1.8291e+000              5.925686581901e-011
     1.8693e+000              6.459363397457e-011
     1.9095e+000              7.028289389748e-011
     1.9497e+000              7.724794788090e-011
     1.9899e+000              8.641009388507e-011
     2.0302e+000              9.191466209066e-011
     2.0704e+000              9.436142106667e-011
     2.1106e+000              9.897735418536e-011
     2.1508e+000              1.025845096923e-010
     2.1910e+000              1.083398091224e-010
     2.2312e+000              1.183142638955e-010
     2.2714e+000              1.247119717554e-010
     2.3116e+000              1.335858271324e-010
     2.3518e+000              1.319333735479e-010
     2.3920e+000              1.474760859516e-010
     2.4322e+000              1.679079126089e-010
     2.4724e+000              1.686579022073e-010
     2.5126e+000              1.843914585786e-010
     2.5528e+000              1.930394184963e-010
     2.5930e+000              1.716855747446e-010
     2.6332e+000              1.861621618178e-010
     2.6734e+000              2.053450509405e-010
     2.7136e+000              2.144231707948e-010
     2.7538e+000              2.308328837722e-010
     2.7940e+000              2.377397416307e-010
     2.8342e+000              2.503671159515e-010
     2.8744e+000              2.727029550976e-010
     2.9146e+000              2.752751077818e-010
     2.9548e+000              2.936911124148e-010
     2.9950e+000              3.062483270998e-010
     3.0352e+000              3.447281198774e-010
     3.0754e+000              3.742548329295e-010
     3.1156e+000              3.860872278625e-010
     3.1558e+000              4.087417894125e-010
     3.1960e+000              4.197853654987e-010
     3.2362e+000              4.433033376327e-010
     3.2764e+000              4.563713478498e-010
     3.3166e+000              5.073262854407e-010
     3.3568e+000              5.315711294074e-010
     3.3970e+000              5.518810120200e-010
     3.4372e+000              5.751403948083e-010
     3.4774e+000              5.902784410696e-010
     3.5176e+000              6.630991044754e-010
     3.5578e+000              6.940525755486e-010
     3.5980e+000              7.142797139861e-010
     3.6382e+000              7.171723374729e-010
     3.6784e+000              7.512992901238e-010
     3.7186e+000              7.832144835814e-010
     3.7588e+000              7.992680348126e-010
     3.7990e+000              8.549129417881e-010
     3.8392e+000              8.824834661341e-010
     3.8794e+000              9.369009480318e-010
     3.9196e+000              9.638212136570e-010
     3.9598e+000              9.841732529717e-010
     4.0000e+000              9.333836509688e-010
