# Single Point Spectroscopy       
# 
# Sample                          Polesi_dopada
# Data set                        18/01/2024
# Creation Comment                
# Ramp start value                -4.000e+000 V
# Ramp end value                  4.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 4.858e+001, 1.949e+002 [nm]
# Averaged curves                 1-10
# 
# 
# Ramp value [V]                             I(V)
# --------------             --------------------
    -4.0000e+000             -9.314536966854e-010
    -3.9598e+000             -9.099969092895e-010
    -3.9196e+000             -9.635039313635e-010
    -3.8794e+000             -9.715261875193e-010
    -3.8392e+000             -9.096312009002e-010
    -3.7990e+000             -8.596219580928e-010
    -3.7588e+000             -8.162305423490e-010
    -3.7186e+000             -8.022726055514e-010
    -3.6784e+000             -7.542606851825e-010
    -3.6382e+000             -6.956975781732e-010
    -3.5980e+000             -6.836789166131e-010
    -3.5578e+000             -6.598985449817e-010
    -3.5176e+000             -6.322303426066e-010
    -3.4774e+000             -6.096818284613e-010
    -3.4372e+000             -5.862860128575e-010
    -3.3970e+000             -5.819144796971e-010
    -3.3568e+000             -5.612028103956e-010
    -3.3166e+000             -5.506095121910e-010
    -3.2764e+000             -5.158152445678e-010
    -3.2362e+000             -5.207170878325e-010
    -3.1960e+000             -4.948851548710e-010
    -3.1558e+000             -4.702435160866e-010
    -3.1156e+000             -4.689053001441e-010
    -3.0754e+000             -4.491032047986e-010
    -3.0352e+000             -4.116222154089e-010
    -2.9950e+000             -4.027877882006e-010
    -2.9548e+000             -3.847533927422e-010
    -2.9146e+000             -3.909224049109e-010
    -2.8744e+000             -3.727001866463e-010
    -2.8342e+000             -3.458307466359e-010
    -2.7940e+000             -3.326511693068e-010
    -2.7538e+000             -3.113543659069e-010
    -2.7136e+000             -2.950557179987e-010
    -2.6734e+000             -2.793870759139e-010
    -2.6332e+000             -2.603853207601e-010
    -2.5930e+000             -2.451488659744e-010
    -2.5528e+000             -2.416618083151e-010
    -2.5126e+000             -2.337131880193e-010
    -2.4724e+000             -2.099258838985e-010
    -2.4322e+000             -2.013950258460e-010
    -2.3920e+000             -1.854095615969e-010
    -2.3518e+000             -1.866401231371e-010
    -2.3116e+000             -1.775914814853e-010
    -2.2714e+000             -1.659278242095e-010
    -2.2312e+000             -1.502840811442e-010
    -2.1910e+000             -1.462327143366e-010
    -2.1508e+000             -1.408346228054e-010
    -2.1106e+000             -1.365346875490e-010
    -2.0704e+000             -1.243835511744e-010
    -2.0302e+000             -1.177357711938e-010
    -1.9899e+000             -1.127941397328e-010
    -1.9497e+000             -1.041773342572e-010
    -1.9095e+000             -9.494744840205e-011
    -1.8693e+000             -9.106005782857e-011
    -1.8291e+000             -8.507938233077e-011
    -1.7889e+000             -8.226700324516e-011
    -1.7487e+000             -7.513771740027e-011
    -1.7085e+000             -6.423992839979e-011
    -1.6683e+000             -6.573487488618e-011
    -1.6281e+000             -6.322748096268e-011
    -1.5879e+000             -5.553126183620e-011
    -1.5477e+000             -5.011311960640e-011
    -1.5075e+000             -4.657392656880e-011
    -1.4673e+000             -4.366976776606e-011
    -1.4271e+000             -4.038208772730e-011
    -1.3869e+000             -3.719195183951e-011
    -1.3467e+000             -3.356580284089e-011
    -1.3065e+000             -3.066450921325e-011
    -1.2663e+000             -2.607638220287e-011
    -1.2261e+000             -2.403177946227e-011
    -1.1859e+000             -2.103703172035e-011
    -1.1457e+000             -1.942102091553e-011
    -1.1055e+000             -1.682332131552e-011
    -1.0653e+000             -1.484084122720e-011
    -1.0251e+000             -1.380579725854e-011
    -9.8492e-001             -1.139786092923e-011
    -9.4472e-001             -1.071795189877e-011
    -9.0452e-001             -9.593985711586e-012
    -8.6432e-001             -7.720067847936e-012
    -8.2412e-001             -6.897502206609e-012
    -7.8392e-001             -5.924337391794e-012
    -7.4372e-001             -5.105336714881e-012
    -7.0352e-001             -4.175172556099e-012
    -6.6332e-001             -3.342504032847e-012
    -6.2312e-001             -2.858570553670e-012
    -5.8291e-001             -2.391178540081e-012
    -5.4271e-001             -1.867935417338e-012
    -5.0251e-001             -1.567135787529e-012
    -4.6231e-001             -1.183165937118e-012
    -4.2211e-001             -8.698373458118e-013
    -3.8191e-001             -5.762972240718e-013
    -3.4171e-001             -3.611439451874e-013
    -3.0151e-001             -2.585162654956e-013
    -2.6131e-001             -1.366609609836e-013
    -2.2111e-001             -5.200395677273e-014
    -1.8090e-001              2.577030175842e-014
    -1.4070e-001              6.457529252437e-014
    -1.0050e-001              9.051754777736e-014
    -6.0302e-002              1.068310214544e-013
    -2.0101e-002              1.236400896676e-013
     2.0100e-002              1.421940252609e-013
     6.0301e-002              1.579595507039e-013
     1.0050e-001              1.709805755498e-013
     1.4070e-001              1.904438687755e-013
     1.8090e-001              2.115396454902e-013
     2.2111e-001              2.442754455476e-013
     2.6131e-001              2.784340072426e-013
     3.0151e-001              3.042225790598e-013
     3.4171e-001              3.482124282766e-013
     3.8191e-001              4.594345585685e-013
     4.2211e-001              5.621835268859e-013
     4.6231e-001              6.802296009036e-013
     5.0251e-001              8.241221275130e-013
     5.4271e-001              9.347531676674e-013
     5.8291e-001              1.217049219692e-012
     6.2312e-001              1.522388575287e-012
     6.6332e-001              1.842901752068e-012
     7.0352e-001              2.264689549480e-012
     7.4372e-001              2.674509690731e-012
     7.8392e-001              3.049473783924e-012
     8.2412e-001              3.649397878739e-012
     8.6432e-001              4.345493106584e-012
     9.0452e-001              5.260682725997e-012
     9.4472e-001              6.071447598170e-012
     9.8492e-001              6.861374316811e-012
     1.0251e+000              8.112396941132e-012
     1.0653e+000              9.019223940102e-012
     1.1055e+000              1.067581131727e-011
     1.1457e+000              1.156536297771e-011
     1.1859e+000              1.396500577503e-011
     1.2261e+000              1.510049990873e-011
     1.2663e+000              1.617118384915e-011
     1.3065e+000              1.793436796113e-011
     1.3467e+000              1.961175295994e-011
     1.3869e+000              2.204411313373e-011
     1.4271e+000              2.430792525980e-011
     1.4673e+000              2.658118945452e-011
     1.5075e+000              2.910359553222e-011
     1.5477e+000              3.380472224214e-011
     1.5879e+000              3.818819373448e-011
     1.6281e+000              3.873518071775e-011
     1.6683e+000              4.345568935004e-011
     1.7085e+000              4.848049594458e-011
     1.7487e+000              5.425960233605e-011
     1.7889e+000              5.998546133203e-011
     1.8291e+000              6.242759706199e-011
     1.8693e+000              6.820551405727e-011
     1.9095e+000              7.086008481913e-011
     1.9497e+000              7.528689028093e-011
     1.9899e+000              8.313899922145e-011
     2.0302e+000              8.373703720137e-011
     2.0704e+000              9.543198709612e-011
     2.1106e+000              9.605494190505e-011
     2.1508e+000              1.062394576771e-010
     2.1910e+000              1.111401453222e-010
     2.2312e+000              1.216113081838e-010
     2.2714e+000              1.295081477553e-010
     2.3116e+000              1.387230277510e-010
     2.3518e+000              1.500705999596e-010
     2.3920e+000              1.557685684058e-010
     2.4322e+000              1.724029037725e-010
     2.4724e+000              1.782939921138e-010
     2.5126e+000              1.934652970980e-010
     2.5528e+000              2.007182701663e-010
     2.5930e+000              2.083374131347e-010
     2.6332e+000              2.222598513616e-010
     2.6734e+000              2.310889048696e-010
     2.7136e+000              2.361326502993e-010
     2.7538e+000              2.516285142804e-010
     2.7940e+000              2.618179988943e-010
     2.8342e+000              2.798681194997e-010
     2.8744e+000              2.987080106838e-010
     2.9146e+000              3.119910475177e-010
     2.9548e+000              3.204566122183e-010
     2.9950e+000              3.345352192230e-010
     3.0352e+000              3.506305224515e-010
     3.0754e+000              3.699531333074e-010
     3.1156e+000              3.934206114513e-010
     3.1558e+000              4.176357079241e-010
     3.1960e+000              4.237425541450e-010
     3.2362e+000              4.542316843044e-010
     3.2764e+000              4.859828434936e-010
     3.3166e+000              4.898846535958e-010
     3.3568e+000              5.145846722804e-010
     3.3970e+000              5.420950144387e-010
     3.4372e+000              5.601081799352e-010
     3.4774e+000              5.853117185232e-010
     3.5176e+000              6.112280358198e-010
     3.5578e+000              5.954234591240e-010
     3.5980e+000              6.055618049221e-010
     3.6382e+000              6.266934440734e-010
     3.6784e+000              6.455038291126e-010
     3.7186e+000              6.554779355263e-010
     3.7588e+000              6.638085029161e-010
     3.7990e+000              6.924362865476e-010
     3.8392e+000              7.234155009013e-010
     3.8794e+000              7.344669902258e-010
     3.9196e+000              7.457546301933e-010
     3.9598e+000              7.717106033434e-010
     4.0000e+000              7.964482466808e-010
