# Single Point Spectroscopy       
# 
# Sample                          Polesi_dopada
# Data set                        18/01/2024
# Creation Comment                
# Ramp start value                -4.000e+000 V
# Ramp end value                  4.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 3.362e+002, -3.772e+002 [nm]
# Averaged curves                 1-10
# 
# 
# Ramp value [V]                             I(V)
# --------------             --------------------
    -4.0000e+000             -6.152259361448e-010
    -3.9598e+000             -6.478718729988e-010
    -3.9196e+000             -6.246139161963e-010
    -3.8794e+000             -6.440900985647e-010
    -3.8392e+000             -6.364118693049e-010
    -3.7990e+000             -6.653732571477e-010
    -3.7588e+000             -6.547453875394e-010
    -3.7186e+000             -6.533642343487e-010
    -3.6784e+000             -6.674798896550e-010
    -3.6382e+000             -6.442175354489e-010
    -3.5980e+000             -6.532105725606e-010
    -3.5578e+000             -6.656980128164e-010
    -3.5176e+000             -6.481007074812e-010
    -3.4774e+000             -6.302801458657e-010
    -3.4372e+000             -6.110216916263e-010
    -3.3970e+000             -5.957725136638e-010
    -3.3568e+000             -5.774358213520e-010
    -3.3166e+000             -5.532085508788e-010
    -3.2764e+000             -5.357339515573e-010
    -3.2362e+000             -5.255804589592e-010
    -3.1960e+000             -5.039816278438e-010
    -3.1558e+000             -5.003176932930e-010
    -3.1156e+000             -4.802304404051e-010
    -3.0754e+000             -4.694920149864e-010
    -3.0352e+000             -4.586919592857e-010
    -2.9950e+000             -4.328751430323e-010
    -2.9548e+000             -4.121861867915e-010
    -2.9146e+000             -4.027701626603e-010
    -2.8744e+000             -3.836107970827e-010
    -2.8342e+000             -3.777412925898e-010
    -2.7940e+000             -3.664375906306e-010
    -2.7538e+000             -3.565036947739e-010
    -2.7136e+000             -3.406968889775e-010
    -2.6734e+000             -3.244585347198e-010
    -2.6332e+000             -3.131673566557e-010
    -2.5930e+000             -2.936907732672e-010
    -2.5528e+000             -2.832761040374e-010
    -2.5126e+000             -2.728636299782e-010
    -2.4724e+000             -2.582637898642e-010
    -2.4322e+000             -2.483109516413e-010
    -2.3920e+000             -2.406237760404e-010
    -2.3518e+000             -2.311897816943e-010
    -2.3116e+000             -2.300925016148e-010
    -2.2714e+000             -2.130638527808e-010
    -2.2312e+000             -2.029671949580e-010
    -2.1910e+000             -1.873802869750e-010
    -2.1508e+000             -1.724665485203e-010
