# Single Point Spectroscopy       
# 
# Sample                          Polesi_dopada
# Data set                        18/01/2024
# Creation Comment                
# Ramp start value                -4.000e+000 V
# Ramp end value                  4.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         No
# Channel name and data unit      I(V) [A]
# Sample position                 -5.250e+002, -1.998e+002 [nm]
# Averaged curves                 1-10
# 
# 
# Ramp value [V]                             I(V)
# --------------             --------------------
    -4.0000e+000             -1.074164882214e-009
    -3.9598e+000             -1.157119482193e-009
    -3.9196e+000             -1.131798960418e-009
    -3.8794e+000             -1.063246671126e-009
    -3.8392e+000             -9.923919117989e-010
    -3.7990e+000             -9.509773340729e-010
    -3.7588e+000             -9.241315347510e-010
    -3.7186e+000             -9.301600099426e-010
    -3.6784e+000             -9.093846183607e-010
    -3.6382e+000             -8.738194058423e-010
    -3.5980e+000             -8.498071639818e-010
    -3.5578e+000             -8.072450559916e-010
    -3.5176e+000             -7.724739676995e-010
    -3.4774e+000             -7.236368831955e-010
    -3.4372e+000             -7.011179082042e-010
    -3.3970e+000             -6.975649323263e-010
    -3.3568e+000             -7.005059069864e-010
    -3.3166e+000             -6.750560946076e-010
    -3.2764e+000             -6.460398996590e-010
    -3.2362e+000             -6.095764235792e-010
    -3.1960e+000             -5.861535586160e-010
    -3.1558e+000             -5.517407862481e-010
    -3.1156e+000             -5.199567150066e-010
    -3.0754e+000             -5.105520659061e-010
    -3.0352e+000             -4.925181063192e-010
    -2.9950e+000             -4.505361738720e-010
    -2.9548e+000             -4.251128226796e-010
    -2.9146e+000             -4.018860780463e-010
    -2.8744e+000             -3.829974495612e-010
    -2.8342e+000             -3.645075569723e-010
    -2.7940e+000             -3.462595197370e-010
    -2.7538e+000             -3.282825139110e-010
    -2.7136e+000             -3.287848671406e-010
    -2.6734e+000             -2.932297579647e-010
    -2.6332e+000             -2.772033833692e-010
    -2.5930e+000             -2.689294794154e-010
    -2.5528e+000             -2.536707720052e-010
    -2.5126e+000             -2.457938530925e-010
    -2.4724e+000             -2.306791251068e-010
    -2.4322e+000             -2.177043321073e-010
    -2.3920e+000             -2.062334565001e-010
    -2.3518e+000             -1.944077170886e-010
    -2.3116e+000             -1.834635869284e-010
    -2.2714e+000             -1.792793872744e-010
    -2.2312e+000             -1.634351011432e-010
    -2.1910e+000             -1.566045923251e-010
    -2.1508e+000             -1.511674762554e-010
    -2.1106e+000             -1.481181403414e-010
    -2.0704e+000             -1.398853311233e-010
    -2.0302e+000             -1.386550087827e-010
    -1.9899e+000             -1.316784286951e-010
    -1.9497e+000             -1.219919616347e-010
    -1.9095e+000             -1.189270634688e-010
    -1.8693e+000             -1.144259888362e-010
    -1.8291e+000             -1.070242915017e-010
    -1.7889e+000             -9.927700571853e-011
    -1.7487e+000             -9.339469176492e-011
    -1.7085e+000             -8.728063624021e-011
    -1.6683e+000             -8.173928549331e-011
    -1.6281e+000             -7.307455903524e-011
    -1.5879e+000             -6.764157215238e-011
    -1.5477e+000             -6.468283653871e-011
    -1.5075e+000             -6.114895425408e-011
    -1.4673e+000             -5.296018094421e-011
    -1.4271e+000             -4.631219339118e-011
    -1.3869e+000             -4.352433349213e-011
    -1.3467e+000             -3.862306120516e-011
    -1.3065e+000             -3.637632114403e-011
    -1.2663e+000             -3.256235148860e-011
    -1.2261e+000             -2.797365611051e-011
    -1.1859e+000             -2.515575086948e-011
    -1.1457e+000             -2.280756515541e-011
    -1.1055e+000             -1.986006117553e-011
    -1.0653e+000             -1.726216904902e-011
    -1.0251e+000             -1.523157376291e-011
    -9.8492e-001             -1.339798866612e-011
    -9.4472e-001             -1.162083701741e-011
    -9.0452e-001             -9.727118248273e-012
    -8.6432e-001             -8.541547572239e-012
    -8.2412e-001             -7.519811422287e-012
    -7.8392e-001             -5.790885052313e-012
    -7.4372e-001             -4.948826793548e-012
    -7.0352e-001             -4.005607372752e-012
    -6.6332e-001             -3.243103705306e-012
    -6.2312e-001             -2.572560920283e-012
    -5.8291e-001             -2.050039234567e-012
