# Single Point Spectroscopy       
# 
# Sample                          Polesi_dopada
# Data set                        24/01/2024
# Creation Comment                
# Ramp start value                -3.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -9.180e+001, -8.711e+001 [nm]
# Averaged curves                 1-10
# 
# 
# Ramp value [V]                             I(V)
# --------------             --------------------
   -3.00000e+000             -1.729584237944e-009
   -2.96985e+000             -1.588714493177e-009
   -2.93970e+000             -1.543431604039e-009
   -2.90955e+000             -1.553928762738e-009
   -2.87940e+000             -1.556690058893e-009
   -2.84925e+000             -1.564997246902e-009
   -2.81910e+000             -1.459198014428e-009
   -2.78894e+000             -1.442114711404e-009
   -2.75879e+000             -1.364147231495e-009
   -2.72864e+000             -1.387633774215e-009
   -2.69849e+000             -1.361164405811e-009
   -2.66834e+000             -1.577116325004e-009
   -2.63819e+000             -1.496941328086e-009
   -2.60804e+000             -1.549332607956e-009
   -2.57789e+000             -1.412156822662e-009
   -2.54774e+000             -1.397667600998e-009
   -2.51759e+000             -1.302010394742e-009
   -2.48744e+000             -1.404675201804e-009
   -2.45729e+000             -1.407597424167e-009
   -2.42714e+000             -1.344489550985e-009
   -2.39699e+000             -1.038974006619e-009
   -2.36683e+000             -7.933132467599e-010
   -2.33668e+000             -8.050942395733e-010
   -2.30653e+000             -8.141561455949e-010
   -2.27638e+000             -8.203995499117e-010
   -2.24623e+000             -8.165962768384e-010
   -2.21608e+000             -7.027151854434e-010
   -2.18593e+000             -6.065382399239e-010
   -2.15578e+000             -6.789542483951e-010
   -2.12563e+000             -7.753297783995e-010
   -2.09548e+000             -7.393945499033e-010
   -2.06533e+000             -6.605658524310e-010
   -2.03518e+000             -5.967465919815e-010
   -2.00503e+000             -4.975010413166e-010
   -1.97487e+000             -4.570483625345e-010
   -1.94472e+000             -4.380280995040e-010
   -1.91457e+000             -4.361428178173e-010
   -1.88442e+000             -4.266297501961e-010
   -1.85427e+000             -4.174409286778e-010
   -1.82412e+000             -4.138357879439e-010
   -1.79397e+000             -4.147973333084e-010
   -1.76382e+000             -4.044840480125e-010
   -1.73367e+000             -4.003344771823e-010
   -1.70352e+000             -4.003662356110e-010
   -1.67337e+000             -3.966467246160e-010
   -1.64322e+000             -3.904417144439e-010
   -1.61307e+000             -3.814712126053e-010
   -1.58291e+000             -3.816763147418e-010
   -1.55276e+000             -3.800353098825e-010
   -1.52261e+000             -3.130635632234e-010
   -1.49246e+000             -3.125969342534e-010
   -1.46231e+000             -2.845844736127e-010
   -1.43216e+000             -1.579103047584e-010
   -1.40201e+000             -1.215200606013e-010
   -1.37186e+000             -9.580789140646e-011
   -1.34171e+000             -7.724227479734e-011
   -1.31156e+000             -8.068428939220e-011
   -1.28141e+000             -9.690037490468e-011
   -1.25126e+000             -7.734264144211e-011
   -1.22111e+000             -1.303341064076e-010
   -1.19096e+000             -1.132821521945e-010
   -1.16080e+000             -1.176541441022e-010
   -1.13065e+000             -2.141938903081e-010
   -1.10050e+000             -2.705833305826e-010
   -1.07035e+000             -2.478114840063e-010
   -1.04020e+000             -2.089526710289e-010
   -1.01005e+000             -1.999660284377e-010
   -9.79900e-001             -1.844712938226e-010
   -9.49749e-001             -1.881415353820e-010
   -9.19598e-001             -1.802681745248e-010
   -8.89448e-001             -1.833575574866e-010
   -8.59297e-001             -1.595918673059e-010
   -8.29146e-001             -1.903477378673e-010
   -7.98995e-001             -1.939633482662e-010
