# Single Point Spectroscopy       
# 
# Sample                          MoO3
# Data set                        23/10/2024
# Creation Comment                
# Ramp start value                0.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -8.400e+001, -3.150e+001 [nm]
# Averaged curves                 27
# 
# 
# Ramp value [V]                              I(V)
# --------------             ---------------------
     0.0000e+000              2.0152488973098e-012
     2.0134e-002              3.7259098143839e-013
     4.0268e-002              3.9008878480926e-013
     6.0403e-002              4.0079596044394e-013
     8.0537e-002              4.2714936878482e-013
     1.0067e-001              4.2840370811570e-013
     1.2081e-001              4.8669133687547e-013
     1.4094e-001              5.0017279790905e-013
     1.6107e-001              5.3467710895204e-013
     1.8121e-001              6.1063756517536e-013
     2.0134e-001              5.7227044170093e-013
     2.2148e-001              6.0873225904364e-013
     2.4161e-001              7.0711729331689e-013
     2.6174e-001              8.0394860494283e-013
     2.8188e-001              9.6877370597703e-013
     3.0201e-001              9.1798908371663e-013
     3.2215e-001              1.0704012918620e-012
     3.4228e-001              1.1069659742417e-012
     3.6242e-001              1.3825076315878e-012
     3.8255e-001              1.4118594789901e-012
     4.0268e-001              1.3147211075525e-012
     4.2282e-001              1.4678441591620e-012
     4.4295e-001              1.9347869442467e-012
     4.6309e-001              2.5207814242325e-012
     4.8322e-001              2.1525767922045e-012
     5.0336e-001              1.9055763443578e-012
     5.2349e-001              1.9847532521088e-012
     5.4362e-001              2.0510904538329e-012
     5.6376e-001              2.1028714851823e-012
     5.8389e-001              2.3244028569459e-012
     6.0403e-001              2.4906726743942e-012
     6.2416e-001              2.6890087479805e-012
     6.4430e-001              2.5799196086707e-012
     6.6443e-001              3.0159829237898e-012
     6.8456e-001              4.0440329911203e-012
     7.0470e-001              5.8466276158233e-012
     7.2483e-001              5.7535071220220e-012
     7.4497e-001              6.2334707784227e-012
     7.6510e-001              7.9497739195371e-012
     7.8523e-001              7.7768731454547e-012
     8.0537e-001              8.1475311853783e-012
     8.2550e-001              7.7113465816336e-012
     8.4564e-001              9.1583751561591e-012
     8.6577e-001              1.1039524892495e-011
     8.8591e-001              1.1440439070966e-011
     9.0604e-001              1.2069478730658e-011
     9.2617e-001              1.0493314617014e-011
     9.4631e-001              7.7807958345494e-012
     9.6644e-001              8.4129536866292e-012
     9.8658e-001              6.7860909274726e-012
     1.0067e+000              8.4786368509542e-012
     1.0268e+000              9.4251840324599e-012
     1.0470e+000              9.7351071769243e-012
     1.0671e+000              1.1072225227144e-011
     1.0872e+000              1.1240930028899e-011
     1.1074e+000              1.2385959137401e-011
     1.1275e+000              1.0931341579629e-011
     1.1477e+000              1.3929240215808e-011
     1.1678e+000              1.4359358852972e-011
     1.1879e+000              1.5587443034648e-011
     1.2081e+000              1.6102354703519e-011
