# Single Point Spectroscopy       
# 
# Sample                          MoO3
# Data set                        23/10/2024
# Creation Comment                
# Ramp start value                0.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -8.400e+001, -3.150e+001 [nm]
# 
# 
# Ramp value [V]                              I(V)
# --------------             ---------------------
     0.0000e+000              2.1444397071939e-012
     2.0134e-002              4.1199750237549e-013
     4.0268e-002              4.1950972066922e-013
     6.0403e-002              4.4715431551839e-013
     8.0537e-002              4.5179245397442e-013
     1.0067e-001              4.8469698339835e-013
     1.2081e-001              4.9975059066793e-013
     1.4094e-001              5.3571497111565e-013
     1.6107e-001              5.1253656122796e-013
     1.8121e-001              5.3547392916345e-013
     2.0134e-001              6.0552041341305e-013
     2.2148e-001              6.3056574695600e-013
     2.4161e-001              6.6716574121398e-013
     2.6174e-001              7.0571402997733e-013
     2.8188e-001              7.6552160480512e-013
     3.0201e-001              8.1559231300326e-013
     3.2215e-001              8.9663460911056e-013
     3.4228e-001              1.0044340972111e-012
     3.6242e-001              1.0000109006233e-012
     3.8255e-001              1.1351018647896e-012
     4.0268e-001              1.1681061886523e-012
     4.2282e-001              1.3097651621913e-012
     4.4295e-001              1.7595310214084e-012
     4.6309e-001              1.8662297000839e-012
     4.8322e-001              1.5486899369898e-012
     5.0336e-001              1.6997817879448e-012
     5.2349e-001              1.8770136406715e-012
     5.4362e-001              2.8395494265735e-012
     5.6376e-001              3.2372348711247e-012
     5.8389e-001              3.2593539246620e-012
     6.0403e-001              3.5945956859018e-012
     6.2416e-001              4.2595628788638e-012
     6.4430e-001              4.7300675577645e-012
     6.6443e-001              4.9663992124530e-012
     6.8456e-001              4.8782684405921e-012
     7.0470e-001              4.3458804625365e-012
     7.2483e-001              4.6600041852252e-012
     7.4497e-001              4.3167543040958e-012
     7.6510e-001              4.4470244292180e-012
     7.8523e-001              4.4547561952771e-012
     8.0537e-001              6.5656112355642e-012
     8.2550e-001              6.8991641678395e-012
     8.4564e-001              6.4848253343997e-012
     8.6577e-001              7.3541469732577e-012
     8.8591e-001              7.2831839154701e-012
     9.0604e-001              6.7800065373034e-012
     9.2617e-001              7.6999285625348e-012
     9.4631e-001              8.2682594268514e-012
     9.6644e-001              7.5937503502401e-012
     9.8658e-001              7.4440110977557e-012
     1.0067e+000              9.9753860854925e-012
     1.0268e+000              1.1756564823627e-011
     1.0470e+000              1.2303158923872e-011
     1.0671e+000              1.2813071659009e-011
     1.0872e+000              1.4326477353034e-011
     1.1074e+000              1.5434952526250e-011
     1.1275e+000              1.5894941941898e-011
     1.1477e+000              1.6661829962866e-011
     1.1678e+000              1.6390640878351e-011
     1.1879e+000              1.8644524378937e-011
     1.2081e+000              2.0299808594266e-011
     1.2282e+000              1.9027128580836e-011
     1.2483e+000              2.1729637213438e-011
     1.2685e+000              2.2749708331561e-011
     1.2886e+000              2.3091189548175e-011
     1.3087e+000              2.5072723278158e-011
     1.3289e+000              2.6630889080938e-011
     1.3490e+000              2.7893687909627e-011
     1.3691e+000              3.2625600896860e-011
     1.3893e+000              3.4652425949072e-011
     1.4094e+000              3.0010905229213e-011
     1.4295e+000              3.4807689207569e-011
     1.4497e+000              3.5948609855791e-011
     1.4698e+000              3.7000833206799e-011
     1.4899e+000              3.9741956146025e-011
     1.5101e+000              3.6054527067246e-011
     1.5302e+000              3.0642393690903e-011
     1.5503e+000              3.3911277216822e-011
     1.5705e+000              3.1024987145709e-011
     1.5906e+000              4.2793892703169e-011
     1.6107e+000              5.2002476744441e-011
     1.6309e+000              5.0958955468497e-011
     1.6510e+000              4.0333007901110e-011
     1.6711e+000              5.2809878236967e-011
     1.6913e+000              5.9968639981429e-011
     1.7114e+000              6.0678548448434e-011
     1.7315e+000              6.2389739043684e-011
     1.7517e+000              6.5863479058291e-011
     1.7718e+000              7.0186013763342e-011
     1.7919e+000              6.4870079155414e-011
     1.8121e+000              7.0891597292899e-011
     1.8322e+000              7.0621418435165e-011
     1.8523e+000              6.6361378078294e-011
     1.8725e+000              6.0583349159708e-011
     1.8926e+000              7.0433024958282e-011
     1.9128e+000              7.1414243798428e-011
     1.9329e+000              7.4325807962644e-011
     1.9530e+000              7.4384631410776e-011
     1.9732e+000              7.4547618758837e-011
     1.9933e+000              7.6762889488099e-011
     2.0134e+000              7.2893053063467e-011
     2.0336e+000              8.8461677937553e-011
     2.0537e+000              1.0929558790362e-010
     2.0738e+000              1.1750221582037e-010
     2.0940e+000              1.1889386769315e-010
     2.1141e+000              1.2790565710109e-010
     2.1342e+000              1.2026180687197e-010
     2.1544e+000              1.1099505034936e-010
     2.1745e+000              1.1593369135484e-010
     2.1946e+000              1.1517984723467e-010
     2.2148e+000              1.5393370947137e-010
     2.2349e+000              1.5824407846668e-010
     2.2550e+000              1.6631679759953e-010
     2.2752e+000              1.7235181562164e-010
     2.2953e+000              1.7540067697477e-010
     2.3154e+000              1.9377919390351e-010
     2.3356e+000              1.6776625041127e-010
     2.3557e+000              1.6652850305732e-010
     2.3758e+000              2.1291202014804e-010
     2.3960e+000              2.2153802882033e-010
     2.4161e+000              2.2168091296251e-010
     2.4362e+000              1.9016300884225e-010
     2.4564e+000              1.8705281229173e-010
     2.4765e+000              1.8823176997413e-010
     2.4966e+000              2.6096873378820e-010
     2.5168e+000              2.5620204167139e-010
     2.5369e+000              2.1611218368809e-010
     2.5570e+000              2.7806667619576e-010
     2.5772e+000              2.5601785798453e-010
     2.5973e+000              2.6229872651549e-010
     2.6174e+000              2.6894440973816e-010
     2.6376e+000              2.6324691186109e-010
     2.6577e+000              2.7132939089006e-010
     2.6779e+000              2.8089681116850e-010
     2.6980e+000              2.9276832076205e-010
     2.7181e+000              3.1567155132297e-010
     2.7383e+000              3.3598073138269e-010
     2.7584e+000              3.3489539777219e-010
     2.7785e+000              3.1869256388648e-010
     2.7987e+000              3.3856096265707e-010
     2.8188e+000              3.5582080388566e-010
     2.8389e+000              3.4626415987131e-010
     2.8591e+000              3.6915208657122e-010
     2.8792e+000              3.7130543561885e-010
     2.8993e+000              3.8452217424754e-010
     2.9195e+000              3.9480277932118e-010
     2.9396e+000              3.9470185643756e-010
     2.9597e+000              4.2540579719713e-010
     2.9799e+000              6.2212721672235e-010
     3.0000e+000              6.1804748956342e-010
     3.0000e+000              5.9831454408757e-010
     2.9799e+000              6.0725183003810e-010
     2.9597e+000              6.4411881587297e-010
     2.9396e+000              6.3657364545554e-010
     2.9195e+000              6.2099792135860e-010
     2.8993e+000              6.3001946759206e-010
     2.8792e+000              6.0493255508001e-010
     2.8591e+000              5.6892402557256e-010
     2.8389e+000              4.3455220316183e-010
     2.8188e+000              4.2658711924008e-010
     2.7987e+000              4.4589706065460e-010
     2.7785e+000              4.3223099219162e-010
     2.7584e+000              4.2034457945011e-010
     2.7383e+000              3.9156829417067e-010
     2.7181e+000              3.9489446738096e-010
     2.6980e+000              4.1814816219329e-010
     2.6779e+000              4.0310654560936e-010
     2.6577e+000              3.4913298130973e-010
     2.6376e+000              3.0747645196686e-010
     2.6174e+000              2.9380974942538e-010
     2.5973e+000              2.9850189816699e-010
     2.5772e+000              2.7772552813904e-010
     2.5570e+000              2.6557422564505e-010
     2.5369e+000              3.1941927159579e-010
     2.5168e+000              3.0935369283180e-010
     2.4966e+000              2.8354024609923e-010
     2.4765e+000              2.4618269843855e-010
     2.4564e+000              2.2559795522730e-010
     2.4362e+000              2.3165351555081e-010
     2.4161e+000              2.1977691951149e-010
     2.3960e+000              2.4264231569771e-010
     2.3758e+000              2.6772317759618e-010
     2.3557e+000              2.5515369802111e-010
     2.3356e+000              2.3207990341127e-010
     2.3154e+000              2.3742147751347e-010
     2.2953e+000              2.2825325494915e-010
     2.2752e+000              2.1970463456121e-010
     2.2550e+000              2.1537305694470e-010
     2.2349e+000              1.6260776686300e-010
     2.2148e+000              1.4973100792844e-010
     2.1946e+000              1.8923149684442e-010
     2.1745e+000              1.9486181617588e-010
     2.1544e+000              1.6616069606775e-010
     2.1342e+000              1.4363080110830e-010
     2.1141e+000              1.4548928368934e-010
     2.0940e+000              1.4197419192988e-010
     2.0738e+000              1.2446944440137e-010
     2.0537e+000              1.1927424878201e-010
     2.0336e+000              1.0990670908800e-010
     2.0134e+000              1.3388697650332e-010
     1.9933e+000              1.4021376122323e-010
     1.9732e+000              1.1027176482166e-010
     1.9530e+000              1.3099936453972e-010
     1.9329e+000              1.2746340806606e-010
     1.9128e+000              1.3026581400251e-010
     1.8926e+000              1.2240020824796e-010
     1.8725e+000              1.0470835996437e-010
     1.8523e+000              1.0495797809712e-010
     1.8322e+000              1.0251514227079e-010
     1.8121e+000              1.0347401790374e-010
     1.7919e+000              9.8265968760656e-011
     1.7718e+000              9.8823742908646e-011
     1.7517e+000              9.1525608250943e-011
     1.7315e+000              9.2200749870766e-011
     1.7114e+000              8.7567849855122e-011
     1.6913e+000              8.2576824445769e-011
     1.6711e+000              8.0039403450339e-011
     1.6510e+000              7.6863170616710e-011
     1.6309e+000              7.7198473789912e-011
     1.6107e+000              6.7800466086088e-011
     1.5906e+000              6.6861642994146e-011
     1.5705e+000              6.1339791005880e-011
     1.5503e+000              6.1971958069754e-011
     1.5302e+000              5.8105955286871e-011
     1.5101e+000              5.6688720725877e-011
     1.4899e+000              5.1057925451712e-011
     1.4698e+000              5.2277490258911e-011
     1.4497e+000              4.9817365429886e-011
     1.4295e+000              4.8503012794108e-011
     1.4094e+000              4.7035821137046e-011
     1.3893e+000              3.3632339477958e-011
     1.3691e+000              3.1131420217647e-011
     1.3490e+000              2.9455252864523e-011
     1.3289e+000              2.6578383388433e-011
     1.3087e+000              2.5855903892735e-011
     1.2886e+000              2.4339574989303e-011
     1.2685e+000              2.3322255127093e-011
     1.2483e+000              2.1605027735945e-011
     1.2282e+000              1.8945492123993e-011
     1.2081e+000              1.8340045404934e-011
     1.1879e+000              2.2545060643545e-011
     1.1678e+000              3.0392175256230e-011
     1.1477e+000              2.8013838878654e-011
     1.1275e+000              2.6924416766755e-011
     1.1074e+000              2.5498976032293e-011
     1.0872e+000              2.0779061407203e-011
     1.0671e+000              1.9331842455594e-011
     1.0470e+000              1.8641622663716e-011
     1.0268e+000              1.8481070299962e-011
     1.0067e+000              1.6175212320345e-011
     9.8658e-001              1.6706605424611e-011
     9.6644e-001              1.7663720069537e-011
     9.4631e-001              1.7798210731771e-011
     9.2617e-001              1.4888005307222e-011
     9.0604e-001              9.1375902775038e-012
     8.8591e-001              1.4406248421521e-011
     8.6577e-001              1.3854250068589e-011
     8.4564e-001              1.4665717033022e-011
     8.2550e-001              1.2899489037120e-011
     8.0537e-001              6.7753039162869e-012
     7.8523e-001              6.5727350231961e-012
     7.6510e-001              6.2487285804671e-012
     7.4497e-001              6.6067219384563e-012
     7.2483e-001              6.4337827818974e-012
     7.0470e-001              6.1947612832582e-012
     6.8456e-001              6.1701519746479e-012
     6.6443e-001              5.6225384358281e-012
     6.4430e-001              6.8493114721077e-012
     6.2416e-001              8.1986151909551e-012
     6.0403e-001              7.7787999457732e-012
     5.8389e-001              6.9752612656791e-012
     5.6376e-001              6.7982566372130e-012
     5.4362e-001              6.4291676729273e-012
     5.2349e-001              6.1248867525032e-012
     5.0336e-001              5.3882134170092e-012
     4.8322e-001              3.2440024693750e-012
     4.6309e-001              3.1078168369800e-012
     4.4295e-001              3.0373358630968e-012
     4.2282e-001              2.9610560646693e-012
     4.0268e-001              2.9949355089954e-012
     3.8255e-001              3.6321076478006e-012
     3.6242e-001              3.0817259647781e-012
     3.4228e-001              2.3812841517680e-012
     3.2215e-001              2.1340165618851e-012
     3.0201e-001              1.9479567395714e-012
     2.8188e-001              1.8630808017147e-012
     2.6174e-001              1.6833494821206e-012
     2.4161e-001              1.5593495183537e-012
     2.2148e-001              1.4502834085297e-012
     2.0134e-001              1.7015704113481e-012
     1.8121e-001              1.5934024514734e-012
     1.6107e-001              1.4049460273292e-012
     1.4094e-001              1.2952995744612e-012
     1.2081e-001              1.1435598273034e-012
     1.0067e-001              9.4555384301475e-013
     8.0537e-002              7.6924163442411e-013
     6.0403e-002              6.5237467008342e-013
     4.0268e-002              5.9608139480077e-013
     2.0134e-002              4.7051235539594e-013
     1.1102e-016              3.7684836572789e-013
