# Single Point Spectroscopy       
# 
# Sample                          Polesi_dopada
# Data set                        22/01/2024
# Creation Comment                
# Ramp start value                -3.000e+000 V
# Ramp end value                  3.000e+000 V
# Raster time                     1.000e-001 seconds
# Varied-Z spectroscopy           No
# Automatic ramp reversal         Yes
# Channel name and data unit      I(V) [A]
# Sample position                 -5.625e+001, -9.805e+001 [nm]
# 
# 
# Ramp value [V]                             I(V)
# --------------             --------------------
   -3.00000e+000             -3.296863107669e-009
   -2.96985e+000             -3.297029623135e-009
   -2.93970e+000             -3.297029623135e-009
   -2.90955e+000             -3.297029623135e-009
   -2.87940e+000             -3.297029623135e-009
   -2.84925e+000             -3.297029623135e-009
   -2.81910e+000             -3.297029623135e-009
   -2.78894e+000             -3.297029623135e-009
   -2.75879e+000             -3.297029623135e-009
   -2.72864e+000             -3.297029623135e-009
   -2.69849e+000             -3.297029623135e-009
   -2.66834e+000             -3.297029623135e-009
   -2.63819e+000             -3.297029623135e-009
   -2.60804e+000             -3.297029623135e-009
   -2.57789e+000             -3.297029623135e-009
   -2.54774e+000             -3.297029623135e-009
   -2.51759e+000             -3.297029623135e-009
   -2.48744e+000             -3.297029623135e-009
   -2.45729e+000             -3.297029623135e-009
   -2.42714e+000             -3.297029623135e-009
   -2.39698e+000             -3.297029623135e-009
   -2.36683e+000             -3.297029623135e-009
   -2.33668e+000             -3.290671476861e-009
   -2.30653e+000             -3.297029623135e-009
   -2.27638e+000             -3.294452199922e-009
   -2.24623e+000             -3.283463166410e-009
   -2.21608e+000             -3.166263671646e-009
   -2.18593e+000             -3.117396760734e-009
   -2.15578e+000             -2.944435925752e-009
   -2.12563e+000             -2.892777626210e-009
   -2.09548e+000             -2.671155774667e-009
   -2.06533e+000             -2.547868786894e-009
   -2.03518e+000             -2.486473870976e-009
   -2.00503e+000             -2.498042684077e-009
   -1.97487e+000             -2.379141838450e-009
   -1.94472e+000             -2.347587850196e-009
   -1.91457e+000             -2.000107105533e-009
   -1.88442e+000             -1.985369209485e-009
   -1.85427e+000             -1.883802092889e-009
   -1.82412e+000             -1.842030971895e-009
   -1.79397e+000             -1.814723821961e-009
   -1.76382e+000             -1.833280679229e-009
   -1.73367e+000             -1.792049220460e-009
   -1.70352e+000             -1.655780007919e-009
   -1.67337e+000             -1.660479440119e-009
   -1.64322e+000             -1.618136334249e-009
   -1.61307e+000             -1.506677261254e-009
   -1.58291e+000             -1.301482309747e-009
   -1.55276e+000             -1.316872534406e-009
   -1.52261e+000             -1.136819761571e-009
   -1.49246e+000             -1.002207213480e-009
   -1.46231e+000             -9.639393225247e-010
   -1.43216e+000             -9.230507589828e-010
   -1.40201e+000             -9.261939214747e-010
   -1.37186e+000             -8.440443293038e-010
   -1.34171e+000             -7.956306202501e-010
   -1.31156e+000             -7.920870026341e-010
   -1.28141e+000             -7.555526746522e-010
   -1.25126e+000             -6.449132179884e-010
   -1.22111e+000             -6.244621348426e-010
   -1.19095e+000             -6.064410616347e-010
   -1.16080e+000             -5.516554316040e-010
   -1.13065e+000             -5.275124317003e-010
   -1.10050e+000             -4.896759966279e-010
   -1.07035e+000             -4.876003229655e-010
   -1.04020e+000             -4.378598100006e-010
   -1.01005e+000             -3.951577112928e-010
   -9.79900e-001             -3.643786851975e-010
   -9.49749e-001             -3.508263624359e-010
   -9.19598e-001             -3.344075165785e-010
   -8.89447e-001             -2.903167552253e-010
   -8.59297e-001             -2.768299682393e-010
   -8.29146e-001             -2.571749161612e-010
   -7.98995e-001             -2.321733079354e-010
   -7.68844e-001             -2.058061939798e-010
   -7.38694e-001             -1.916876421783e-010
   -7.08543e-001             -1.657191056760e-010
   -6.78392e-001             -1.780436236804e-010
   -6.48241e-001             -1.472785626653e-010
   -6.18091e-001             -1.303720367385e-010
   -5.87940e-001             -1.162384697122e-010
   -5.57789e-001             -1.053863664522e-010
   -5.27638e-001             -1.072851260688e-010
   -4.97488e-001             -1.025199953511e-010
   -4.67337e-001             -8.072915958190e-011
   -4.37186e-001             -6.939740126070e-011
   -4.07035e-001             -6.136155540534e-011
   -3.76885e-001             -5.551982999941e-011
   -3.46734e-001             -4.708848189476e-011
   -3.16583e-001             -4.048233415815e-011
   -2.86432e-001             -3.519456614675e-011
   -2.56282e-001             -2.862815502037e-011
   -2.26131e-001             -2.233963609421e-011
   -1.95980e-001             -2.022813469301e-011
   -1.65829e-001             -1.569141502220e-011
   -1.35679e-001             -1.317464840500e-011
   -1.05528e-001             -1.066488275151e-011
   -7.53770e-002             -6.927389105733e-012
   -4.52263e-002             -3.488259337804e-012
   -1.50755e-002             -1.109990513387e-012
    1.50752e-002              7.221970006705e-013
    4.52260e-002              2.608907590196e-012
    7.53767e-002              4.028822783347e-012
    1.05527e-001              6.737877931135e-012
    1.35678e-001              8.382801948417e-012
    1.65829e-001              1.059731731054e-011
    1.95980e-001              1.276597789569e-011
    2.26130e-001              1.560766445855e-011
    2.56281e-001              1.448678713954e-011
    2.86432e-001              1.885172066339e-011
    3.16583e-001              2.573798064264e-011
    3.46733e-001              3.258216882179e-011
    3.76884e-001              3.969965405106e-011
    4.07035e-001              4.790750253056e-011
    4.37186e-001              5.262142181282e-011
    4.67337e-001              6.040940898816e-011
    4.97487e-001              7.178357380467e-011
    5.27638e-001              7.222073332331e-011
    5.57789e-001              7.285254573310e-011
    5.87940e-001              8.703516402905e-011
    6.18090e-001              9.068964866063e-011
    6.48241e-001              9.225138556902e-011
    6.78392e-001              9.005265615181e-011
    7.08543e-001              1.001464429654e-010
    7.38693e-001              8.481416509900e-011
    7.68844e-001              1.140687451648e-010
    7.98995e-001              1.285928170419e-010
    8.29146e-001              1.257248215944e-010
    8.59296e-001              1.530095546266e-010
    8.89447e-001              1.569009021264e-010
    9.19598e-001              1.667683766469e-010
    9.49749e-001              1.751536657798e-010
    9.79899e-001              1.995260393629e-010
    1.01005e+000              1.815238027392e-010
    1.04020e+000              1.893645473961e-010
    1.07035e+000              1.952473973227e-010
    1.10050e+000              1.888893232079e-010
    1.13065e+000              2.031183152119e-010
    1.16080e+000              2.342090807105e-010
    1.19095e+000              2.443775828528e-010
    1.22111e+000              3.072333066550e-010
    1.25126e+000              3.341821930181e-010
    1.28141e+000              3.376470375100e-010
    1.31156e+000              3.805463407759e-010
    1.34171e+000              4.221626560305e-010
    1.37186e+000              4.424038115949e-010
    1.40201e+000              4.514135329550e-010
    1.43216e+000              4.987236705807e-010
    1.46231e+000              4.821060188483e-010
    1.49246e+000              5.307021352479e-010
    1.52261e+000              6.277851683663e-010
    1.55276e+000              6.311496273292e-010
    1.58291e+000              6.535562608037e-010
    1.61307e+000              8.188742435006e-010
    1.64322e+000              7.712188677814e-010
    1.67337e+000              7.534076315724e-010
    1.70352e+000              7.627375119158e-010
    1.73367e+000              8.351716947967e-010
    1.76382e+000              8.526738783758e-010
    1.79397e+000              9.344787682726e-010
    1.82412e+000              1.064627171815e-009
    1.85427e+000              1.134086160062e-009
    1.88442e+000              1.095096856644e-009
    1.91457e+000              1.210804208070e-009
    1.94472e+000              1.202111482978e-009
    1.97487e+000              1.252394096222e-009
    2.00502e+000              1.233515971486e-009
    2.03518e+000              1.229081332314e-009
    2.06533e+000              1.353041584036e-009
    2.09548e+000              1.516355315182e-009
    2.12563e+000              1.680664337720e-009
    2.15578e+000              1.629941812166e-009
    2.18593e+000              1.744179883928e-009
    2.21608e+000              1.751362645468e-009
    2.24623e+000              1.739914886091e-009
    2.27638e+000              1.854932469103e-009
    2.30653e+000              1.895204691444e-009
    2.33668e+000              1.956848384151e-009
