V,I_0,I_1,I_2,I_3,I_4
-1.4799,-1.911151824342e-09,-2.93709578378e-09,-1.21629563181e-08,-1.21992665416e-09,-1.368178449038e-09
-1.4699,-1.5372309668593262e-09,-2.78458884768099e-09,-1.234917542770396e-08,-1.1842574349570297e-09,-1.2846982515553266e-09
-1.4599,-1.1633101093766525e-09,-2.63208191158198e-09,-1.2535394537307921e-08,-1.1485882157540594e-09,-1.2012180540726534e-09
-1.4499,-1.0217562862549251e-09,-2.7084437224006968e-09,-1.5419319763669162e-08,-1.1792943129136816e-09,-1.1920737163012487e-09
-1.4399,-8.8494464750791e-10,-2.789476323972836e-09,-1.8358300216902997e-08,-1.2113550083664181e-09,-1.1844464368912983e-09
-1.4299,-9.366551378387131e-10,-2.8201433859397014e-09,-1.31693988986162e-08,-1.0982883956700493e-09,-1.157262816004169e-09
-1.4199,-9.941962094812006e-10,-2.849252750805373e-09,-7.729119793581369e-09,-9.807333095257706e-10,-1.1294743598136217e-09
-1.4099,-1.0266768697522546e-09,-2.803587384386138e-09,-6.370364294224349e-09,-9.793316551491485e-10,-1.208252071233327e-09
-1.3999,-1.0581133462161655e-09,-2.7548064041633663e-09,-5.181672278437219e-09,-9.82769727096178e-10,-1.2914700396367927e-09
-1.3899,-9.860822428814283e-10,-2.835554431783931e-09,-3.912549793479941e-09,-1.0538337665494085e-09,-1.2938908297753482e-09
-1.3799,-9.074468259425227e-10,-2.924570268415772e-09,-2.6382934487883982e-09,-1.1292143571200554e-09,-1.2911543532161444e-09
-1.3699,-8.578812607865936e-10,-2.799036760405969e-09,-2.5220791119523878e-09,-1.0956346969244773e-09,-1.2729924321233282e-09
-1.3598999999999999,-8.105037489906732e-10,-2.6573543769930337e-09,-2.493029227320547e-09,-1.0538537275314423e-09,-1.2536694560656167e-09
-1.3498999999999999,-7.863460097347265e-10,-2.7059626885491093e-09,-2.3800128796240583e-09,-9.952566352165935e-10,-1.2587816020199506e-09
-1.3398999999999999,-7.642073811344294e-10,-2.7711180170590103e-09,-2.2596951003567316e-09,-9.35197271343326e-10,-1.2660185411927227e-09
-1.3298999999999999,-6.945402235669961e-10,-2.760844570741343e-09,-4.356224935273311e-09,-9.017174374059997e-10,-1.2127178185891038e-09
-1.3198999999999999,-6.195921183365483e-10,-2.7421901494428356e-09,-6.69907117176585e-09,-8.711908845726664e-10,-1.152690689121442e-09
-1.3098999999999998,-6.574736128781315e-10,-2.7383612925171145e-09,-6.469940874641884e-09,-8.370791439688851e-10,-1.05546764849947e-09
-1.2998999999999998,-7.093003388522111e-10,-2.7363648087161197e-09,-5.922925837408053e-09,-8.025242902698802e-10,-9.536473604314598e-10
-1.2898999999999998,-7.907566061231725e-10,-2.762969234603367e-09,-5.212153935534049e-09,-8.845982360333281e-10,-1.395336770151454e-09
-1.2798999999999998,-8.762532653891627e-10,-2.7934737845390107e-09,-4.479051552118207e-09,-9.825761089961993e-10,-1.911141138660712e-09
-1.2698999999999998,-1.2095343777628517e-09,-2.800250852299453e-09,-3.2701144504648554e-09,-8.785876306260127e-10,-1.6942888636413876e-09
-1.2598999999999998,-1.5831524941308122e-09,-2.8031653066825375e-09,-1.9837158830519194e-09,-7.417209090155648e-10,-1.3581669024662633e-09
-1.2498999999999998,-1.251609951760557e-09,-2.9117861374633854e-09,-2.0201747175994573e-09,-7.214960860692985e-10,-1.3698447666151505e-09
-1.2398999999999998,-7.956272931423975e-10,-3.0390610346673657e-09,-2.2900789760223432e-09,-7.218551275931791e-10,-1.4428990705270907e-09
-1.2298999999999998,-6.884928276201606e-10,-2.890873988948709e-09,-2.2305301710066315e-09,-6.831562340278308e-10,-1.3053668604779868e-09
-1.2198999999999998,-6.478056369733288e-10,-2.690218001720986e-09,-2.1082284015264334e-09,-6.370177337788209e-10,-1.127722933483927e-09
-1.2098999999999998,-6.637611489760847e-10,-2.6418288552273627e-09,-2.0339497059486556e-09,-7.008352629692755e-10,-9.681700300002625e-10
-1.1998999999999997,-6.921504249750896e-10,-2.626864137187562e-09,-1.9702126607397003e-09,-7.887894815488775e-10,-8.125883267993669e-10
-1.1898999999999997,-5.954767896318226e-10,-2.6498227211237323e-09,-1.9033091122992524e-09,-8.387752186358218e-10,-1.0134744141255732e-09
-1.1798999999999997,-4.694674096527181e-10,-2.6816768944122895e-09,-1.8356628038415408e-09,-8.79854768705971e-10,-1.2979764029334341e-09
-1.1698999999999997,-4.688285990595542e-10,-2.619660166159107e-09,-1.9308919166331714e-09,-9.232944923140604e-10,-1.1666618483866381e-09
-1.1598999999999997,-4.99532430812871e-10,-2.534175712520493e-09,-2.066839884737132e-09,-9.673242593066348e-10,-9.313931580011923e-10
-1.1498999999999997,-4.745952601426795e-10,-2.5685239065417928e-09,-2.2200235398232878e-09,-9.454781366161633e-10,-9.989372664040994e-10
-1.1398999999999997,-4.3396447340432134e-10,-2.636671052467166e-09,-2.378068542519805e-09,-9.050516347843223e-10,-1.151890112926786e-09
-1.1298999999999997,-8.314092210674273e-10,-2.722315486609458e-09,-2.2585344741412325e-09,-8.874608402781086e-10,-1.1986792236728073e-09
-1.1198999999999997,-1.3597076997854971e-09,-2.8131863834658937e-09,-2.056087176740242e-09,-8.766911012068215e-10,-1.2137570886673618e-09
-1.1098999999999997,-1.3412028384799197e-09,-2.9703604525419453e-09,-1.94393124547955e-09,-8.683688158778058e-10,-1.0476039046805084e-09
-1.0998999999999997,-1.1404301971664866e-09,-3.1496355790245324e-09,-1.8618724362656195e-09,-8.608623484628803e-10,-8.21040371033195e-10
-1.0898999999999996,-8.553834712371817e-10,-3.233179379043633e-09,-1.8732623196427376e-09,-7.738468174867877e-10,-7.922306060295569e-10
-1.0798999999999996,-5.407269317941965e-10,-3.283087848143136e-09,-1.9174855274437326e-09,-6.588956695838025e-10,-8.329018948736863e-10
-1.0698999999999996,-4.0621287781215385e-10,-3.2689997434542565e-09,-1.8022730033481134e-09,-6.814970939087695e-10,-8.957408685401948e-10
-1.0598999999999996,-3.3832686639784683e-10,-3.2312416731176225e-09,-1.6280910989619746e-09,-7.549741271399578e-10,-9.667788489218285e-10
-1.0498999999999996,-3.0800390887755573e-10,-2.9948061843115816e-09,-1.5471252183899986e-09,-8.167506880920665e-10,-8.935673575862942e-10
-1.0398999999999996,-2.930236071731279e-10,-2.6772207640180493e-09,-1.5042334883899985e-09,-8.737481829020168e-10,-7.614370679437568e-10
-1.0298999999999996,-2.824891406140087e-10,-2.638342700119555e-09,-1.8198213602551899e-09,-8.537389700229087e-10,-7.019455228933373e-10
-1.0198999999999996,-2.738600319743072e-10,-2.7189106461046298e-09,-2.2890433472054386e-09,-8.007268824199235e-10,-6.73584868382392e-10
-1.0098999999999996,-2.672915794425117e-10,-2.641207501057316e-09,-2.5302549848838144e-09,-7.624972046726715e-10,-6.752618566732223e-10
-0.9998999999999996,-2.616489289302101e-10,-2.4923970542418393e-09,-2.6690271902806404e-09,-7.309088994692984e-10,-6.90434017817022e-10
-0.9898999999999996,-4.2027665180900945e-10,-2.3578758919428163e-09,-2.4852847606846057e-09,-7.714583159195675e-10,-6.761911114945653e-10
-0.9798999999999995,-6.583585908977332e-10,-2.2302661639944803e-09,-2.1455486055579286e-09,-8.468992713299005e-10,-6.477207393056433e-10
-0.9698999999999995,-6.934712252015835e-10,-2.1403749223238023e-09,-1.9299398395526857e-09,-8.490513862592999e-10,-6.374411067474702e-10
-0.9598999999999995,-6.244891631029246e-10,-2.069827957276609e-09,-1.777990959950102e-09,-8.136166374624792e-10,-6.364907642571076e-10
-0.9498999999999995,-5.617544557724856e-10,-2.185381306343188e-09,-1.788283943882815e-09,-7.926324996372129e-10,-6.469499036062855e-10
-0.9398999999999995,-5.024133732544122e-10,-2.4020261840641408e-09,-1.886708310476658e-09,-7.794980764137769e-10,-6.636067861769408e-10
-0.9298999999999995,-4.422732151542161e-10,-2.5932269403494716e-09,-1.870268390139564e-09,-8.095125782954472e-10,-6.99642109430016e-10
-0.9198999999999995,-3.8167176105550756e-10,-2.7697391344180263e-09,-1.7875188025836772e-09,-8.644363965627101e-10,-7.468643558530662e-10
-0.9098999999999995,-3.6088805373197224e-10,-2.6220407433323506e-09,-1.9331478714770752e-09,-8.988631312886764e-10,-7.981054553648061e-10
-0.8998999999999995,-3.6440535450471307e-10,-2.2764747004376124e-09,-2.218157795111634e-09,-9.207803738050618e-10,-8.517992848614299e-10
-0.8898999999999995,-3.523759532090607e-10,-2.046259965147746e-09,-2.3093140561669328e-09,-8.916599935861188e-10,-8.021095504166412e-10
-0.8798999999999995,-3.3028089472580196e-10,-1.8907290253911645e-09,-2.2749604500169083e-09,-8.294954853029596e-10,-6.854844936836063e-10
