V_0,I(nA)_0,V_1,I(nA)_1,V_2,I(nA)_2,V_3,I(nA)_3,V_4,I(nA)_4,V_5,I(nA)_5,V_6,I(nA)_6,V_7,I(nA)_7,V_8,I(nA)_8,V_9,I(nA)_9,V_10,I(nA)_10,V_11,I(nA)_11,V_12,I(nA)_12,V_13,I(nA)_13,V_14,I(nA)_14,V_15,I(nA)_15,V_16,I(nA)_16,V_17,I(nA)_17,V_18,I(nA)_18,V_19,I(nA)_19,V_20,I(nA)_20,V_21,I(nA)_21,V_22,I(nA)_22,V_23,I(nA)_23,V_24,I(nA)_24,V_25,I(nA)_25,V_26,I(nA)_26,V_27,I(nA)_27,V_28,I(nA)_28,V_29,I(nA)_29,V_30,I(nA)_30,V_31,I(nA)_31,V_32,I(nA)_32,V_33,I(nA)_33,V_34,I(nA)_34,V_35,I(nA)_35,V_36,I(nA)_36,V_37,I(nA)_37,V_38,I(nA)_38,V_39,I(nA)_39,V_40,I(nA)_40,V_41,I(nA)_41,V_42,I(nA)_42,V_43,I(nA)_43,V_44,I(nA)_44,V_45,I(nA)_45,V_46,I(nA)_46,V_47,I(nA)_47,V_48,I(nA)_48,V_49,I(nA)_49,V_50,I(nA)_50,V_51,I(nA)_51,V_52,I(nA)_52,V_53,I(nA)_53,V_54,I(nA)_54,V_55,I(nA)_55,V_56,I(nA)_56,V_57,I(nA)_57,V_58,I(nA)_58,V_59,I(nA)_59
-0.5781241096,-4.80224608e-09,-0.9374993346,-1.719177246e-08,-1.992187495,-2.89306639e-09,-1.585937241,-1.600463867e-08,-1.476562172,-1.418823242e-08,-1.992187495,-4.125976548e-09,-1.98437499,-1.684020996e-08,-1.992187495,-4.807128892e-09,-1.992187495,-3.273315414e-09,-1.546874716,-4.378662095e-09,-1.992187495,-1.277221679e-08,-1.671874795,-1.686462402e-08,-1.992187495,-5.181884584e-10,-1.992187495,-3.675537094e-09,-1.914062446,-1.144348144e-08,-1.992187495,-4.942016588e-09,-1.992187495,-1.034667968e-08,-1.992187495,-7.630004871e-09,-1.468749667,-1.578002929e-08,-1.992187495,-2.464599593e-09,-1.624999765,-1.578552246e-08,-1.570312231,-1.658935547e-08,-1.992187495,-4.32983397e-09,-1.992187495,-2.267456038e-09,-1.992187495,-1.145141601e-08,-1.992187495,-1.268310546e-08,-1.609374755,-1.636901855e-08,-1.66406229,-1.7265625e-08,-1.499999687,-1.680053711e-08,-1.351562094,-1.631652832e-08,-1.539062211,-1.544677734e-08,-1.468749667,-1.634216308e-08,-1.765624853,-1.696594238e-08,-1.843749902,-1.598937988e-08,-1.695312309,-1.439941406e-08,-1.515624697,-1.11151123e-08,-1.609374755,-1.734375e-08,-1.992187495,-1.102416991e-08,-1.64843728,-1.744934082e-08,-1.992187495,-1.086364745e-08,-1.773437358,-1.546386718e-08,-1.992187495,-1.495910644e-08,-1.992187495,-3.707275375e-09,-1.992187495,-2.223510726e-09,-1.98437499,-1.147216796e-08,-1.992187495,-9.113769521e-09,-1.726562329,-1.304992675e-08,-1.687499804,-1.759887695e-08,-1.484374677,-1.763916015e-08,-1.359374599,-1.660766601e-08,-1.28124955,-1.316101074e-08,-1.656249785,-1.665771484e-08,-1.624999765,-1.69946289e-08,-1.804687378,-1.798339844e-08,-1.812499883,-1.701477051e-08,-1.304687065,-1.647705078e-08,-1.312499569,-1.633117675e-08,-1.992187495,-6.201782214e-09,-1.60156225,-1.791442871e-08,-1.992187495,-9.740600576e-09
-0.5681241096,-4.68095751875969e-09,-0.9274993346,-1.72551652769837e-08,-1.982187495,-3.0712401115200694e-09,-1.575937241,-1.3337768586399972e-08,-1.466562172,-1.4436669766550094e-08,-1.982187495,-3.6941652194198735e-09,-1.97437499,-1.7635839426500258e-08,-1.982187495,-2.7277830169601097e-09,-1.982187495,-2.0213378280400303e-09,-1.536874716,-5.475708254359832e-09,-1.982187495,-1.6616993676370847e-08,-1.661874795,-1.6405517670999943e-08,-1.982187495,-5.140381728039321e-10,-1.982187495,-4.077465825579987e-09,-1.904062446,-1.121374404680069e-08,-1.982187495,-5.5562480928212245e-09,-1.982187495,-4.747681039679748e-09,-1.982187495,-7.291697932300824e-09,-1.458749667,-1.6665014688465605e-08,-1.982187495,-1.7329596045195877e-09,-1.614999765,-1.4004370939799492e-08,-1.560312231,-1.7786780008849855e-08,-1.982187495,-4.221484377159989e-09,-1.982187495,-2.192919944779975e-09,-1.982187495,-1.2929955770800175e-08,-1.982187495,-1.3034570954099584e-08,-1.599374755,-1.616073742868792e-08,-1.65406229,-1.612829687069937e-08,-1.489999687,-1.455478376270085e-08,-1.341562094,-1.4861695941598956e-08,-1.529062211,-1.1972463570650525e-08,-1.458749667,-1.4511255793365152e-08,-1.755624853,-1.70525574142889e-08,-1.833749902,-1.3722362575700425e-08,-1.685312309,-1.4842187128900235e-08,-1.505624697,-1.301293624030207e-08,-1.599374755,-1.3508008041159255e-08,-1.982187495,-1.1260400007300241e-08,-1.63843728,-1.661001843876632e-08,-1.982187495,-1.0674755872899991e-08,-1.763437358,-1.6622241525299803e-08,-1.982187495,-1.4976147235700138e-08,-1.982187495,-3.4229004947799233e-09,-1.982187495,-2.334008763840006e-09,-1.97437499,-1.0311035561839735e-08,-1.982187495,-9.112964016779897e-09,-1.716562329,-1.2589428988599816e-08,-1.677499804,-1.6714405348586956e-08,-1.474374677,-1.4256470803299304e-08,-1.349374599,-1.7817811491206738e-08,-1.27124955,-1.1863549496000195e-08,-1.646249785,-1.5821288559300318e-08,-1.614999765,-1.633439921110013e-08,-1.7946873779999999,-1.6404541030699994e-08,-1.802499883,-1.744289523440017e-08,-1.294687065,-1.6367163875299485e-08,-1.302499569,-1.5092065519656193e-08,-1.982187495,-6.1490229863802835e-09,-1.59156225,-1.7899194344374995e-08,-1.982187495,-9.25136719073999e-09
-0.5581241096,-3.9376961383194746e-09,-0.9174993346,-1.7318558093967396e-08,-1.972187495,-2.839551718159392e-09,-1.565937241,-1.350862976405038e-08,-1.456562172,-1.4685107113100187e-08,-1.972187495,-3.5623289694800746e-09,-1.96437499,-1.7230910350448925e-08,-1.972187495,-2.738428124399742e-09,-1.972187495,-1.9725588375198336e-09,-1.526874716,-4.994605184868388e-09,-1.972187495,-1.4265655851008312e-08,-1.651874795,-1.7063718528401406e-08,-1.972187495,-3.3938010554784655e-10,-1.972187495,-3.801050545639517e-09,-1.894062446,-1.1600221240817964e-08,-1.972187495,-9.998234053485167e-09,-1.972187495,-3.5534936863584143e-09,-1.972187495,-8.28232458691976e-09,-1.448749667,-1.6222022561585245e-08,-1.972187495,-1.2855465288402099e-09,-1.604999765,-1.305461489939959e-08,-1.550312231,-1.743482710769971e-08,-1.972187495,-4.02436575251966e-09,-1.972187495,-2.226562283280127e-09,-1.972187495,-1.3135913180399935e-08,-1.972187495,-1.227729546399964e-08,-1.589374755,-1.595245630737584e-08,-1.64406229,-1.5301293844000056e-08,-1.479999687,-1.7017232690802287e-08,-1.331562094,-1.3058033358199269e-08,-1.519062211,-9.200879830378781e-09,-1.448749667,-1.3607299963537407e-08,-1.745624853,-1.6976971523984707e-08,-1.823749902,-1.4863523844000981e-08,-1.675312309,-1.510864271463742e-08,-1.495624697,-1.588384659609055e-08,-1.589374755,-1.3831248541404069e-08,-1.972187495,-1.1353809266399555e-08,-1.62843728,-1.577069605753264e-08,-1.972187495,-9.346292885597554e-09,-1.753437358,-1.6428881587800158e-08,-1.972187495,-1.510002461079988e-08,-1.972187495,-3.3773435603201106e-09,-1.972187495,-2.3190186051999577e-09,-1.96437499,-9.463331419700567e-09,-1.972187495,-8.952270557359963e-09,-1.706562329,-1.236086419540004e-08,-1.667499804,-1.5572217262312212e-08,-1.464374677,-1.3836204490801003e-08,-1.3393745989999999,-1.769142268212027e-08,-1.26124955,-1.199982947899976e-08,-1.636249785,-1.6228125086599942e-08,-1.604999765,-1.633015189079966e-08,-1.7846873779999999,-1.664174730460047e-08,-1.792499883,-1.7532471143299726e-08,-1.284687065,-1.532805274199936e-08,-1.292499569,-1.5054662920550096e-08,-1.972187495,-6.728222077160362e-09,-1.58156225,-1.787194015386247e-08,-1.972187495,-9.21318366079995e-09
-0.5481241096,-3.730859291860042e-09,-0.9074993346,-1.7381950910951096e-08,-1.962187495,-2.552343820856832e-09,-1.555937241,-1.3979527901075573e-08,-1.446562172,-1.493354445965028e-08,-1.962187495,-3.4255863925547604e-09,-1.95437499,-1.666212880422106e-08,-1.962187495,-2.8631829238453333e-09,-1.962187495,-1.4748791087481378e-09,-1.516874716,-5.888180551768187e-09,-1.962187495,-1.1914318025645776e-08,-1.6418747949999999,-1.660263976879802e-08,-1.962187495,-2.5722659288072525e-10,-1.962187495,-3.877440609946023e-09,-1.884062446,-1.0541261506105126e-08,-1.962187495,-1.2618626698244386e-08,-1.962187495,-2.8747802848931094e-09,-1.962187495,-1.1885780643937162e-08,-1.438749667,-1.5302882525834864e-08,-1.962187495,-1.4426023293538491e-09,-1.594999765,-1.2496338962980695e-08,-1.540312231,-1.7082874206549568e-08,-1.962187495,-3.4654308351575318e-09,-1.962187495,-2.24899909469683e-09,-1.962187495,-1.2859863967271524e-08,-1.962187495,-1.2013232742637342e-08,-1.579374755,-1.5744175186063762e-08,-1.63406229,-1.632936718040189e-08,-1.469999687,-1.695342096283573e-08,-1.321562094,-1.1730374074198074e-08,-1.509062211,-9.161083330611038e-09,-1.438749667,-1.2558181475498224e-08,-1.735624853,-1.690138563368051e-08,-1.813749902,-1.5057666627512164e-08,-1.665312309,-1.5406737336763104e-08,-1.485624697,-1.601232662939473e-08,-1.579374755,-1.4671580872816368e-08,-1.962187495,-1.1097851760881142e-08,-1.61843728,-1.4278372657197756e-08,-1.962187495,-7.015433316161891e-09,-1.743437358,-1.6505989544301872e-08,-1.962187495,-1.692736289744643e-08,-1.962187495,-3.355883964051778e-09,-1.962187495,-2.2518067616999297e-09,-1.95437499,-9.821116109825059e-09,-1.962187495,-8.748511256500983e-09,-1.696562329,-1.2322363432199909e-08,-1.657499804,-1.5957200697554048e-08,-1.454374677,-1.4768540981530992e-08,-1.3293745989999999,-1.7565033873033798e-08,-1.25124955,-1.4926480385705642e-08,-1.626249785,-1.5949414802299525e-08,-1.594999765,-1.6077612610224848e-08,-1.7746873779999999,-1.5803030378098033e-08,-1.782499883,-1.7186768234949588e-08,-1.274687065,-1.426594470719848e-08,-1.282499569,-1.5148071159631333e-08,-1.962187495,-6.8625488660031e-09,-1.57156225,-1.7829231846262453e-08,-1.962187495,-9.45910569004538e-09
-0.5381241096,-3.5196050235196574e-09,-0.8974993346,-1.7445343727934793e-08,-1.952187495,-2.4113762350360732e-09,-1.545937241,-1.4450426038100768e-08,-1.436562172,-1.5675364206531742e-08,-1.952187495,-3.242186283068895e-09,-1.94437499,-1.671535793754197e-08,-1.952187495,-5.306154867193376e-09,-1.952187495,-1.6233882261821517e-09,-1.506874716,-7.838522166187062e-09,-1.952187495,-9.56298020028324e-09,-1.6318747949999999,-1.6215625667599546e-08,-1.952187495,-2.5048822441852453e-10,-1.952187495,-3.846680210564656e-09,-1.874062446,-9.530590107234202e-09,-1.952187495,-1.2494432913266041e-08,-1.952187495,-2.5003182868175325e-09,-1.952187495,-8.862162857107635e-09,-1.428749667,-1.4383742490084482e-08,-1.952187495,-1.5855716277466495e-09,-1.584999765,-1.2020459006506227e-08,-1.530312231,-1.6661819175329817e-08,-1.952187495,-3.7175046316495274e-09,-1.952187495,-2.1856444033313236e-09,-1.952187495,-1.3568212564325215e-08,-1.952187495,-1.2194945683019116e-08,-1.569374755,-1.5280915403982887e-08,-1.62406229,-1.73059947829157e-08,-1.459999687,-1.536904690763517e-08,-1.311562094,-1.141594665663215e-08,-1.499062211,-9.484421331735343e-09,-1.428749667,-1.2926977170687712e-08,-1.725624853,-1.6825799743376314e-08,-1.803749902,-1.520798161611047e-08,-1.655312309,-1.567995688457135e-08,-1.475624697,-1.6140806662698914e-08,-1.569374755,-1.3915729722573589e-08,-1.952187495,-9.816611029835817e-09,-1.60843728,-1.242314610239897e-08,-1.952187495,-8.822968504610154e-09,-1.733437358,-1.652404508926978e-08,-1.952187495,-1.7646243919997632e-08,-1.952187495,-3.1181404052332536e-09,-1.952187495,-2.1236328382012216e-09,-1.94437499,-9.53698480653346e-09,-1.952187495,-8.654737488181125e-09,-1.686562329,-1.189667938760018e-08,-1.647499804,-1.519821848974641e-08,-1.4443746769999999,-1.555330612999378e-08,-1.3193745989999999,-1.743864506394733e-08,-1.24124955,-1.6199169109406676e-08,-1.616249785,-1.503563818520403e-08,-1.584999765,-1.767967009107364e-08,-1.7646873779999999,-1.557548682560094e-08,-1.772499883,-1.4322118033200719e-08,-1.264687065,-1.4139626761998267e-08,-1.272499569,-1.4889968349751495e-08,-1.952187495,-7.163475547701893e-09,-1.56156225,-1.7617387352509572e-08,-1.952187495,-8.932765223963374e-09
-0.5281241096,-3.3878171861001123e-09,-0.8874993346,-1.7508736544918493e-08,-1.942187495,-2.588134940728004e-09,-1.535937241,-1.4489016587998149e-08,-1.426562172,-1.6487668377857075e-08,-1.942187495,-3.5642091048249108e-09,-1.93437499,-1.676858707086288e-08,-1.942187495,-4.2392613480664675e-09,-1.942187495,-2.257319101334525e-09,-1.496874716,-7.725840093156089e-09,-1.942187495,-7.211642374920703e-09,-1.6218747949999999,-1.597680723549964e-08,-1.942187495,-2.4121111771362255e-10,-1.942187495,-3.7414546145534136e-09,-1.864062446,-9.664429323621477e-09,-1.942187495,-1.2957272652126767e-08,-1.942187495,-2.4151594093792214e-09,-1.942187495,-7.2097202456571495e-09,-1.418749667,-1.399963132779844e-08,-1.942187495,-1.5372309216284488e-09,-1.574999765,-1.2081054006297327e-08,-1.520312231,-1.5456059215747062e-08,-1.942187495,-3.7706299961592935e-09,-1.942187495,-2.256103108878374e-09,-1.942187495,-1.4119136049924808e-08,-1.942187495,-1.2198121730233352e-08,-1.559374755,-1.3751948317424958e-08,-1.61406229,-1.6864198179440537e-08,-1.449999687,-1.3937991664622853e-08,-1.301562094,-1.0119264089464733e-08,-1.489062211,-9.899172692710733e-09,-1.418749667,-1.2994263026218551e-08,-1.715624853,-1.675021385307212e-08,-1.793749902,-1.546130611492034e-08,-1.645312309,-1.5287965443483356e-08,-1.465624697,-1.6269286696003095e-08,-1.559374755,-1.2061278085907018e-08,-1.942187495,-6.896242929854509e-09,-1.59843728,-1.2344967192376795e-08,-1.942187495,-1.0759150247878217e-08,-1.723437358,-1.654210063423769e-08,-1.942187495,-1.6224857380153775e-08,-1.942187495,-2.8902588918718003e-09,-1.942187495,-2.132323998962632e-09,-1.93437499,-1.0539669797283222e-08,-1.942187495,-8.343261553000099e-09,-1.676562329,-1.1854981676624384e-08,-1.637499804,-1.4902222601577494e-08,-1.4343746769999999,-1.6338071278456572e-08,-1.3093745989999999,-1.7312256254860857e-08,-1.23124955,-1.6496337097979665e-08,-1.606249785,-1.6942380720001364e-08,-1.574999765,-1.540051586749798e-08,-1.7546873779999999,-1.66022883835042e-08,-1.762499883,-1.467602480150039e-08,-1.254687065,-1.3658078431001651e-08,-1.262499569,-1.400036800303011e-08,-1.942187495,-7.549803625106927e-09,-1.55156225,-1.6074465600076387e-08,-1.942187495,-8.305910078839411e-09
-0.5181241096,-3.2958016079347973e-09,-0.8774993346,-1.7572129361902193e-08,-1.932187495,-2.879196949635815e-09,-1.525937241,-1.496564298956263e-08,-1.416562172,-1.729997254918241e-08,-1.932187495,-3.378931808703636e-09,-1.92437499,-1.682181620418379e-08,-1.932187495,-3.481593335676509e-09,-1.932187495,-2.086432397012011e-09,-1.486874716,-6.059473700838077e-09,-1.932187495,-4.860304549558167e-09,-1.6118747949999999,-1.487949948099531e-08,-1.932187495,-2.726069710467765e-10,-1.932187495,-3.809204086e-09,-1.854062446,-8.799590376558383e-09,-1.932187495,-1.2224031496613608e-08,-1.932187495,-2.4595962153646637e-09,-1.932187495,-5.617683291823318e-09,-1.408749667,-1.6427011895162437e-08,-1.932187495,-1.7266593442505086e-09,-1.564999765,-1.2052906182268161e-08,-1.510312231,-1.475183118388429e-08,-1.932187495,-3.4362082572217065e-09,-1.932187495,-2.2665042314191574e-09,-1.932187495,-1.4090923026806145e-08,-1.932187495,-1.1863477181924608e-08,-1.5493747549999999,-1.3782548837459352e-08,-1.60406229,-1.642240157596537e-08,-1.439999687,-1.3461816142075152e-08,-1.2915620939999999,-9.839575661865319e-09,-1.479062211,-9.105227228925825e-09,-1.408749667,-1.3231345623541943e-08,-1.705624853,-1.667462796276792e-08,-1.783749902,-1.4657717938385542e-08,-1.635312309,-1.567470262261532e-08,-1.455624697,-1.639776672930728e-08,-1.5493747549999999,-1.2467771853388533e-08,-1.932187495,-6.800583716143915e-09,-1.58843728,-1.238230319653845e-08,-1.932187495,-1.1664867121656926e-08,-1.713437358,-1.6560156179205597e-08,-1.932187495,-1.648756727061316e-08,-1.932187495,-2.8561280274730524e-09,-1.932187495,-2.1099612949997606e-09,-1.92437499,-1.0225908762695264e-08,-1.932187495,-8.351757907107432e-09,-1.666562329,-1.1540332967886913e-08,-1.627499804,-1.4458156430811152e-08,-1.4243746769999999,-1.4063397501566153e-08,-1.2993745989999999,-1.7185867445774388e-08,-1.22124955,-1.6749461936513102e-08,-1.596249785,-1.7484898202828324e-08,-1.564999765,-1.4529079896804485e-08,-1.7446873779999998,-1.7072781773335707e-08,-1.752499883,-1.4979661504400974e-08,-1.244687065,-1.4062719564400107e-08,-1.252499569,-1.3676758169234165e-08,-1.932187495,-7.497486826953426e-09,-1.54156225,-1.4792266878577323e-08,-1.932187495,-8.156346690027486e-09
-0.5081241096,-2.9467790393326765e-09,-0.8674993346,-1.763552217888589e-08,-1.922187495,-3.1124018456759298e-09,-1.515937241,-1.2535392649008111e-08,-1.4065621719999999,-1.0057001483879541e-08,-1.922187495,-3.26389180499986e-09,-1.91437499,-1.68750453375047e-08,-1.922187495,-3.6132310312471247e-09,-1.922187495,-1.6495116636794e-09,-1.476874716,-8.737093313465563e-09,-1.922187495,-3.4175831017524403e-09,-1.6018747949999999,-1.5964053178605983e-08,-1.922187495,-4.57958052563958e-10,-1.922187495,-8.011523298888164e-09,-1.844062446,-1.0214613632357933e-08,-1.922187495,-1.0367390494770068e-08,-1.922187495,-2.37600086096569e-09,-1.922187495,-4.924903437966796e-09,-1.398749667,-1.7504125339565234e-08,-1.922187495,-2.1694313018545745e-09,-1.554999765,-1.1694508564489504e-08,-1.5003122309999999,-1.5641864868847118e-08,-1.922187495,-3.515892208571475e-09,-1.922187495,-2.51201013514225e-09,-1.922187495,-9.977854065464673e-09,-1.922187495,-1.1699414766549517e-08,-1.5393747549999999,-1.1844467404728338e-08,-1.5940622899999999,-1.5980604972490202e-08,-1.429999687,-1.3371192027224611e-08,-1.2815620939999999,-1.016047156435257e-08,-1.469062211,-8.28374399478384e-09,-1.398749667,-1.32202156910682e-08,-1.695624853,-1.6599042072463727e-08,-1.773749902,-1.3444048838377523e-08,-1.625312309,-1.5167094526143862e-08,-1.445624697,-1.652624676261146e-08,-1.5393747549999999,-1.3960734077005222e-08,-1.922187495,-6.126762597105685e-09,-1.57843728,-1.3049872701200195e-08,-1.922187495,-1.2325216268130313e-08,-1.703437358,-1.6578211724173504e-08,-1.922187495,-1.638327929938879e-08,-1.922187495,-2.895385452250175e-09,-1.922187495,-2.06621103049993e-09,-1.91437499,-1.0187815471056824e-08,-1.922187495,-8.121485667573545e-09,-1.656562329,-1.1059865708773428e-08,-1.617499804,-1.40046404767926e-08,-1.4143746769999999,-1.4655555681272507e-08,-1.2893745989999998,-1.7059478636687916e-08,-1.21124955,-1.700258677504654e-08,-1.586249785,-1.7929819821753475e-08,-1.554999765,-1.4512669919344358e-08,-1.7346873779999998,-1.5766925226602245e-08,-1.742499883,-1.5184349987250316e-08,-1.234687065,-1.3726003002398934e-08,-1.242499569,-1.230762503639807e-08,-1.922187495,-7.281470395392689e-09,-1.53156225,-1.3032307676573055e-08,-1.922187495,-8.098340544749545e-09
-0.4981241096,-2.7579841375717165e-09,-0.8574993345999999,-1.769891499586959e-08,-1.912187495,-3.001734182501989e-09,-1.505937241,-1.7058637525350048e-08,-1.3965621719999999,-8.976000977805613e-09,-1.912187495,-3.0133539193741058e-09,-1.90437499,-1.6928274470825612e-08,-1.912187495,-4.481925715805653e-09,-1.912187495,-1.9651094015018484e-09,-1.466874716,-1.177512043834477e-08,-1.912187495,-3.1170922949377965e-09,-1.5918747949999998,-1.6216097760728667e-08,-1.912187495,-4.5458876667442734e-10,-1.912187495,-6.173050948631139e-09,-1.834062446,-1.1530128204921059e-08,-1.912187495,-9.759493893983307e-09,-1.912187495,-2.719408567755385e-09,-1.912187495,-6.082874728307663e-09,-1.388749667,-1.7650414313021537e-08,-1.912187495,-1.977194382191212e-09,-1.544999765,-1.1776636357577736e-08,-1.4903122309999999,-1.665129275639452e-08,-1.912187495,-3.643948234682492e-09,-1.912187495,-2.4196526604929073e-09,-1.912187495,-9.033548660750101e-09,-1.912187495,-1.1647557745919316e-08,-1.5293747549999999,-1.0835779536321561e-08,-1.5840622899999999,-1.5538808369015035e-08,-1.419999687,-1.2289780719599693e-08,-1.2715620939999999,-1.039883005660499e-08,-1.459062211,-8.55429827342741e-09,-1.388749667,-1.4995999969304304e-08,-1.685624853,-1.652345618215953e-08,-1.763749902,-1.3795270983414091e-08,-1.615312309,-1.3943995151365008e-08,-1.435624697,-1.6654726795915645e-08,-1.5293747549999999,-1.4496122039304291e-08,-1.912187495,-5.787529118812606e-09,-1.56843728,-1.2957637889030476e-08,-1.912187495,-1.3394601532029994e-08,-1.693437358,-1.659626726914141e-08,-1.912187495,-1.6346728404109394e-08,-1.912187495,-3.0568837299931482e-09,-1.912187495,-2.1668208293084062e-09,-1.90437499,-9.580268748086135e-09,-1.912187495,-8.575024430813108e-09,-1.646562329,-1.1432352161207126e-08,-1.607499804,-1.3858495506841017e-08,-1.4043746769999998,-1.311662076885329e-08,-1.2793745989999998,-1.680298263436609e-08,-1.20124955,-1.7208788033099587e-08,-1.576249785,-1.70653861211529e-08,-1.544999765,-1.3904666082232484e-08,-1.7246873779999998,-1.5962109298606284e-08,-1.732499883,-1.4713936529580629e-08,-1.224687065,-1.325842024155479e-08,-1.232499569,-1.1273319057141455e-08,-1.912187495,-7.367041948931266e-09,-1.52156225,-1.1373515869646718e-08,-1.912187495,-7.690701540500382e-09
-0.48812410959999997,-2.6344975251937654e-09,-0.8474993345999999,-1.7762307812853288e-08,-1.902187495,-3.0407207785518172e-09,-1.495937241,-1.7529428842297846e-08,-1.3865621719999999,-1.0322515562040821e-08,-1.902187495,-3.2379128127039123e-09,-1.89437499,-1.698150360414652e-08,-1.902187495,-5.64494302978583e-09,-1.902187495,-2.7187930681080486e-09,-1.456874716,-7.41119569453162e-09,-1.902187495,-3.043673699751951e-09,-1.5818747949999998,-1.6105235897105283e-08,-1.902187495,-5.747559120499546e-10,-1.902187495,-4.5858552085514005e-09,-1.824062446,-1.0976568127887067e-08,-1.902187495,-5.8423047099443494e-09,-1.902187495,-2.9111555212848324e-09,-1.902187495,-7.420531706084699e-09,-1.378749667,-1.7796703286477844e-08,-1.902187495,-2.7523620723076376e-09,-1.534999765,-1.1646387495493259e-08,-1.4803122309999999,-1.6852635858578683e-08,-1.902187495,-3.268579475364754e-09,-1.902187495,-2.5404778759160273e-09,-1.902187495,-8.704661478984149e-09,-1.902187495,-1.17620603253501e-08,-1.5193747549999999,-1.2128638653511832e-08,-1.5740622899999999,-1.5516744695442717e-08,-1.409999687,-1.0974293468149083e-08,-1.2615620939999999,-1.0008132126732967e-08,-1.449062211,-8.020268677428047e-09,-1.378749667,-1.453586423816872e-08,-1.675624853,-1.6447870291855334e-08,-1.753749902,-1.28135270000052e-08,-1.6053123089999999,-1.3166879263675349e-08,-1.425624697,-1.6783206829219826e-08,-1.5193747549999999,-1.4584416302173545e-08,-1.902187495,-5.745232059257726e-09,-1.55843728,-1.3401391519228221e-08,-1.902187495,-1.41418889821723e-08,-1.683437358,-1.661432281410932e-08,-1.902187495,-1.5680063170806476e-08,-1.902187495,-3.313010791700587e-09,-1.902187495,-2.2954090787506807e-09,-1.89437499,-9.989259795307708e-09,-1.902187495,-8.629222821801136e-09,-1.636562329,-1.0576422108983614e-08,-1.597499804,-1.4061228620694682e-08,-1.3943746769999998,-1.1385563736686056e-08,-1.2693745989999998,-1.585730619440528e-08,-1.19124955,-1.7413475407266333e-08,-1.566249785,-1.6257204733595188e-08,-1.534999765,-1.326225986101614e-08,-1.7146873779999998,-1.5781618837413935e-08,-1.722499883,-1.5515424932509282e-08,-1.214687065,-1.261602886712907e-08,-1.222499569,-1.15712789801064e-08,-1.902187495,-7.206372739648317e-09,-1.5115622499999999,-1.1192401214141353e-08,-1.902187495,-7.384886489534515e-09
