V,I_0,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,I_18,I_19,I_20,I_21,I_22,I_23,I_24,I_25,I_26,I_27,I_28,I_29,I_30,I_31,I_32,I_33,I_34,I_35,I_36,I_37,I_38,I_39,I_40,I_41,I_42,I_43,I_44,I_45,I_46,I_47,I_48,I_49,I_50,I_51,I_52,I_53,I_54,I_55,I_56,I_57,I_58,I_59
-0.5781241096,-4.80224608e-09,-7.0395269130838866e-09,-3.3815186597154343e-10,-1.4419915378889504e-09,-5.347689426582539e-10,-5.329758557605922e-11,-4.5862424117270826e-10,-1.6094433512897554e-10,-1.0687577673317054e-10,-4.1605374878560713e-10,-8.898712250053231e-11,-6.816377676259319e-10,-1.68563913591012e-11,-6.97179122042957e-10,-5.279744395963701e-10,-1.3735566449880685e-09,-2.031185082521853e-10,-7.827702476779866e-11,-1.7382884219889256e-09,-3.38477260160716e-11,-8.817600698751495e-10,-9.358966116828998e-10,-5.894025730586424e-10,-3.2226778494262977e-10,-1.3187426566844893e-09,-7.716984939437782e-10,-2.677941804728223e-10,-4.104213968516948e-09,-1.0391705450590517e-09,-5.956541866552674e-10,-5.367310655651322e-10,-8.678826289365792e-10,-1.1765183156378746e-09,-3.566354940112302e-10,-3.516868941860129e-10,-7.27575961055903e-10,-2.9163634119050193e-10,-6.395007326690748e-10,-8.974188440282885e-10,-3.421373588872091e-10,-4.818002464070221e-10,-1.8186828338445485e-09,-1.910077939304201e-11,1.2207049887838625e-11,-7.844860401778596e-10,-2.373346113761475e-10,-2.4797523560190227e-11,-8.287944791683526e-10,-2.922370265605209e-10,-6.825025577598879e-10,-1.5643474606348104e-09,-2.88086655269484e-10,-3.4803993731892643e-09,-2.113625064086348e-10,-3.168435317719613e-10,-1.9043405795078522e-10,-1.1745947839022338e-09,-2.366472258813948e-10,-4.983015830951348e-10,-2.953008912046041e-10
-0.5681241096,-4.68095751875969e-09,-6.234138215066913e-09,-3.587693471845347e-10,-4.903151373606014e-10,-5.056374780276411e-10,-5.284392782753498e-11,-3.9555267114838534e-10,-1.7232745948634575e-10,-1.1935894521323488e-10,-4.901771087551205e-10,-8.028376445165258e-11,-7.653960806158604e-10,-2.2831854503959935e-11,-8.079835020135022e-10,-5.13675412837316e-10,-1.4240895374083821e-09,-1.613099935426835e-10,-7.608666237261641e-11,-1.9986308314561823e-09,-3.214360362750328e-11,-9.176234702129708e-10,-9.549540674954632e-10,-6.191089912193935e-10,-3.1116142149435307e-10,-1.3427140645555447e-09,-7.782001866217218e-10,-3.1215298181826566e-10,-3.0234260264329702e-09,-9.874873712071776e-10,-5.354336720232457e-10,-1.1919473776782793e-09,-1.168232817386274e-09,-1.0851547431574846e-09,-3.1830781750325393e-10,-3.009042178676476e-10,-7.820882331092187e-10,-3.1932935182253663e-10,-5.854102283728902e-10,-8.816696514434663e-10,-3.392165428605841e-10,-4.66014355677686e-10,-1.6736518187653012e-09,-1.7505196017469116e-11,7.821714693475663e-12,-6.912660755927624e-10,-2.35558727571971e-10,-1.075708528764434e-11,-7.138378984055658e-10,-2.376829919497576e-10,-8.460575441239171e-10,-1.0038384750101632e-09,-3.048616639225702e-10,-3.215332754844778e-09,-1.9278924742926553e-10,-3.1997922782042453e-10,-1.6951908699120293e-10,-1.2542399394490232e-09,-2.327928786778328e-10,-4.811811224974685e-10,-2.9088687549356725e-10
-0.5581241096,-3.9376961383194746e-09,-5.731567993074511e-09,-3.7104443443169456e-10,-2.8146030807907627e-10,-5.407218553383376e-10,-5.559110723350798e-11,-3.470794743147815e-10,-1.5916162297278455e-10,-1.2775289614250729e-10,-4.5594846982894957e-10,-8.269617430556373e-11,-5.234008599094059e-10,-2.5487886102036643e-11,-3.7724627049627734e-10,-5.085779673158356e-10,-1.4138644503234982e-09,-1.5061012021213318e-10,-5.828836541251972e-11,-2.5812289785968235e-09,-3.05542062192838e-11,-8.655393870025899e-10,-1.0195970702037406e-09,-6.532959563671539e-10,-2.941466365961975e-10,-1.2785677796721018e-09,-7.763049231406617e-10,-2.5881330847387717e-10,-2.332770604686929e-09,-1.004570653444319e-09,-5.077149734590427e-10,-1.292651032251147e-09,-1.3961995539743078e-09,-9.502340464852486e-10,-2.6061222359204955e-10,-2.690933150777482e-10,-8.531004491895997e-10,-3.1397391442522246e-10,-5.313665700166577e-10,-8.556635821462724e-10,-3.390624609004123e-10,-5.079182382255673e-10,-1.5911220438188478e-09,-1.9250540598055454e-11,1.1199568336502363e-11,-5.533366474282943e-10,-2.1676013296956508e-10,-9.765606383e-12,-7.226556297806294e-10,-2.1426848707396164e-10,-8.152434230139572e-10,-8.818647905417289e-10,-3.184272216565519e-10,-3.2119149634487522e-09,-1.5681202782293815e-10,-2.791985347179584e-10,-1.0183177192853518e-10,-1.2489027357953153e-09,-2.215013890928548e-10,-4.470231653248444e-10,-2.7645267039426687e-10
-0.5481241096,-3.730859291860042e-09,-4.975836779963043e-09,-3.596822564377341e-10,-2.6408351323668335e-10,-5.848186795268634e-10,-5.551001850449251e-11,-3.1738518962749224e-10,-1.4547424994995382e-10,-1.3103955750305425e-10,-4.4714055969034037e-10,-1.1416030795541179e-10,-2.475346802469947e-10,-1.5642512310481567e-11,-3.6279689210325e-10,-5.014444279171662e-10,-1.5513389978875495e-09,-1.5592743302192994e-10,-5.7680548248561927e-11,-2.739113625721183e-09,-2.7938845929428917e-11,-7.795328238165515e-10,-1.0893195519528772e-09,-6.548528674959262e-10,-2.7583696642027937e-10,-1.2258282537137104e-09,-7.50189629651281e-10,-2.4555690330162387e-10,-2.0071773280338984e-09,-9.807624412963371e-10,-4.663076101074969e-10,-9.78278609093138e-10,-9.189520524705201e-10,-8.762570388647935e-10,-2.476041268965884e-10,-2.466558594451106e-10,-9.274263588657572e-10,-2.9241105251756297e-10,-5.33783934485895e-10,-8.226794906837828e-10,-3.2200854496534996e-10,-5.012545759638503e-10,-1.5613560226020665e-09,-1.4455412037247006e-11,2.4768655937495895e-11,-5.15797782136516e-10,-2.144340813817868e-10,-3.585269902484608e-12,-6.723025774965166e-10,-1.945060051183773e-10,-7.384557055297879e-10,-8.620964289198154e-10,-2.88680617189923e-10,-2.6644906968711293e-09,-1.6694707382060681e-10,-2.359221939001855e-10,-5.887937565851483e-11,-1.0268312412761424e-09,-1.7919529542710268e-10,-4.413168451828507e-10,-2.517021357520484e-10
-0.5381241096,-3.5196050235196574e-09,-5.447511550291463e-09,-3.5923125550868704e-10,-2.4431934877810363e-10,-5.599615598409784e-10,-5.241847703548633e-11,-6.491466595245013e-10,-1.2638741831144233e-10,-1.3371666904752588e-10,-3.380246254537905e-10,-1.6361681785413123e-10,-2.25099345688349e-10,-1.6071969280921905e-11,-3.6191645491801157e-10,-4.815054441241145e-10,-1.5943321932818141e-09,-1.4970213176291062e-10,-6.335082468764851e-11,-3.249679899828287e-09,-2.7699392882159708e-11,-7.389488874175511e-10,-1.1487809265734771e-09,-5.616239668088652e-10,-2.548334062463177e-10,-1.2203471663680386e-09,-7.361910515293528e-10,-2.3188680265043733e-10,-1.7993861213873935e-09,-8.570354145026763e-10,-3.906938350721606e-10,-7.08723911533599e-10,-6.871210294436055e-10,-8.816418234200385e-10,-2.6677860487535145e-10,-2.396390890258547e-10,-9.41999678606333e-10,-3.2797357264613153e-10,-5.220934850082069e-10,-7.257601900706846e-10,-3.093674763021908e-10,-4.4657740507687966e-10,-1.450602020637515e-09,-7.740762218301736e-12,3.666691996588528e-11,-5.048133749214383e-10,-2.0533008157089906e-10,6.890491232939174e-13,-5.563215330275387e-10,-1.8233650266428427e-10,-6.616997555389822e-10,-8.100733070932363e-10,-2.758035828755711e-10,-2.2665034623563333e-09,-1.549034525864815e-10,-2.346537151257929e-10,-2.985688841308423e-11,-9.529015052651266e-10,-1.77129155409113e-10,-4.1060056534512813e-10,-2.3273537905063833e-10
-0.5281241096,-3.3878171861001123e-09,-5.5889382213464245e-09,-3.632405501142054e-10,-2.410995731971807e-10,-5.07320856632725e-10,-5.525664953614239e-11,-1.1468123445449184e-09,-1.0461574531464406e-10,-1.3129092961099541e-10,-2.6057023091600063e-10,-1.7392772526063746e-10,-2.0770481069071193e-10,-1.518947894445348e-11,-3.5107524959224615e-10,-4.5253314583544217e-10,-1.3255326299518056e-09,-1.0690971175243771e-10,-6.217646584885879e-11,-3.2467119784985663e-09,-3.071740918106165e-11,-7.213438387658283e-10,-1.0654143960485203e-09,-4.0374425891540776e-10,-2.339279246406582e-10,-1.1750576994866498e-09,-6.889251485129304e-10,-2.060793679323465e-10,-1.750839101015225e-09,-7.719662143136857e-10,-3.5330867521276154e-10,-4.318512624000792e-10,-7.506847796157333e-10,-8.824219463950148e-10,-2.7708756309548724e-10,-2.6564724897159996e-10,-8.809824076492009e-10,-3.312069608264501e-10,-4.740017392971871e-10,-6.104048017940856e-10,-3.037192291997066e-10,-4.170874945304124e-10,-1.4422658056880257e-09,4.9196591112571425e-12,3.6483764538709964e-11,-5.127875065959538e-10,-1.780036733939603e-10,9.777342934716945e-12,-5.329935914448908e-10,-1.8041994140619867e-10,-5.636003141640847e-10,-8.235146635294195e-10,-2.0725506581095728e-10,-2.404017416357495e-09,-1.484351608236306e-10,-1.889169679198637e-10,-1.1743178604014787e-11,-8.934740998583415e-10,-1.7199611858057186e-10,-4.0595470965949143e-10,-2.1593692649655784e-10
-0.5181241096,-3.2958016079347973e-09,-4.8111741352300575e-09,-3.449905036810573e-10,-2.211672081125422e-10,-4.780986086875849e-10,-6.894524475698409e-11,-1.2720470769129624e-09,-8.438528828018278e-11,-1.2555621803433475e-10,-1.9380215543348173e-10,-1.5903704727811971e-10,-2.1777335068876545e-10,-1.595840531576931e-11,-3.2238585305625186e-10,-4.097092887659442e-10,-9.0917314569477e-10,-8.782572840518435e-11,-6.398375722659983e-11,-3.128976414317355e-09,-3.841523220948591e-11,-7.436443277656912e-10,-1.0333760660832341e-09,-3.50115837455827e-10,-2.2460271889309345e-10,-1.1121745694333182e-09,-6.384134221870075e-10,-1.934210903252134e-10,-1.7785113153195906e-09,-7.579968391002496e-10,-3.3785705943692186e-10,-5.493138799224151e-10,-7.564592508581791e-10,-8.390930689850076e-10,-2.841408458771494e-10,-3.1806710533113244e-10,-6.794866567501734e-10,-2.7375236482614995e-10,-4.2978366678526615e-10,-6.199952112417363e-10,-3.0251157337675623e-10,-3.844100838760305e-10,-1.49470939466476e-09,1.520846590936058e-11,3.4204111410953665e-11,-5.325291529197409e-10,-1.4647123433266623e-10,2.709016068836922e-11,-5.314495981536569e-10,-1.7223341071931215e-10,-6.091906095385543e-10,-8.158728849593989e-10,-1.4248880507485162e-10,-2.3946322473416536e-09,-2.288929759271169e-10,-1.4987426584373903e-10,-2.687872777868531e-11,-7.602008505882435e-10,-1.6107071452905322e-10,-4.116593567499786e-10,-1.8465035303591556e-10
-0.5081241096,-2.9467790393326765e-09,-5.019733579984824e-09,-3.529014440570747e-10,-2.208520538906751e-10,-4.935099270939289e-10,-7.350875169360715e-11,-9.274725141767426e-10,-8.969347834571435e-11,-1.1477022612338734e-10,-1.7851149805566076e-10,-1.6652364887969813e-10,-2.397093757477223e-10,-1.5739419855057012e-11,-3.4256930607644057e-10,-3.8890990620699713e-10,-6.763718182172154e-10,-9.395920490398649e-11,-6.950627890245949e-11,-2.600249412700707e-09,-5.161818236146467e-11,-7.515615877352512e-10,-1.0469126597544511e-09,-3.440767951492261e-10,-2.1812374184485185e-10,-1.049441820757254e-09,-6.278191210235652e-10,-1.989373953559739e-10,-1.9880455945823246e-09,-7.580193873096862e-10,-3.1917753805087527e-10,-6.525140453314386e-10,-7.626732172748837e-10,-8.502328270776614e-10,-2.854574930857451e-10,-3.2586613290397647e-10,-3.794206272151189e-10,-2.476042767128641e-10,-4.2398715019828747e-10,-5.412910254304612e-10,-3.002670451810141e-10,-3.6686521318173747e-10,-1.5029429068229834e-09,1.312581679935983e-11,3.511956295388386e-11,-5.198021599758978e-10,-1.184706707961313e-10,2.9326078350664275e-11,-5.406428241131489e-10,-1.520920518186937e-10,-6.735569552380778e-10,-8.087998795463363e-10,-9.778226877870115e-11,-2.3251664819412194e-09,-2.393767062790941e-10,-2.3608927035849244e-10,-3.095359511747007e-11,-6.444605832253258e-10,-1.7030172367189564e-10,-3.3776593414511494e-10,-1.5793461680952177e-10
-0.4981241096,-2.7579841375717165e-09,-4.686834807187976e-09,-4.0026428595082455e-10,-1.9842016842542857e-10,-5.276820650275732e-10,-5.917965328125982e-11,-4.035760554852522e-10,-9.05778599791798e-11,-1.0333106708936213e-10,-2.4937718519289076e-10,-1.5242035574420518e-10,-2.610068550098469e-10,-1.4342564575134655e-11,-3.389414062978822e-10,-3.5800426971113954e-10,-4.972550326108948e-10,-1.3778335475489092e-10,-7.32570014751991e-11,-2.0240013927220118e-09,-5.97036292135048e-11,-7.252934819341298e-10,-1.093281343938172e-09,-3.525356892923706e-10,-2.2694557882708605e-10,-1.0364535203516153e-09,-6.272196794561448e-10,-2.048300895163781e-10,-2.2773821916097165e-09,-6.988676007050892e-10,-3.1317301816836557e-10,-7.472026186158989e-10,-8.851364371488885e-10,-8.163456152088956e-10,-2.637391417859263e-10,-3.2275924113861076e-10,-2.5661538355108894e-10,-2.4390526384291416e-10,-3.9262142334061637e-10,-5.055752048008014e-10,-3.0316720590182716e-10,-3.727523105572107e-10,-1.4097520451617826e-09,4.216834618418452e-12,3.457280911752686e-11,-4.6270249713803747e-10,-1.0585943080351595e-10,1.7724705891232904e-11,-5.377887259800791e-10,-1.4262107352523817e-10,-5.490369678219646e-10,-7.444133359771832e-10,-6.961616007163009e-11,-2.3119620127972333e-09,-1.8489295552176e-10,-3.02846235829493e-10,-1.8011035579225612e-11,-5.830214585015923e-10,-1.8619142813786573e-10,-3.2201461740504654e-10,-1.589615671983055e-10
-0.48812410959999997,-2.6344975251937654e-09,-4.077750803772299e-09,-3.7366811826045945e-10,-1.850859786950688e-10,-4.582890387397837e-10,-5.861415194326714e-11,-1.716051931828274e-10,-7.671433762872322e-11,-1.1011421873234588e-10,-3.657262370723726e-10,-1.3633722952953907e-10,-2.652100146742053e-10,-1.4931051099135955e-11,-2.94347683114066e-10,-3.235011904017964e-10,-5.459585767744481e-10,-1.860499131870723e-10,-7.188996011570323e-11,-1.6623637870349225e-09,-6.319318587012951e-11,-7.153641930606094e-10,-1.0471944633409804e-09,-3.497691501019636e-10,-2.2999580489603584e-10,-9.94762408045486e-10,-6.040984724925236e-10,-2.0112398660443609e-10,-2.2757846623049064e-09,-6.868274295504829e-10,-3.218451335781063e-10,-7.918762173240033e-10,-8.680608133957557e-10,-7.735045928115044e-10,-2.386977335734056e-10,-3.3252701793682626e-10,-2.250550090383856e-10,-2.518316513319953e-10,-4.067096826820561e-10,-4.5462083486628163e-10,-2.9187349231244186e-10,-3.565256324970192e-10,-1.2726023880867875e-09,-1.199157880818851e-11,4.293450804023332e-11,-3.7161055511909644e-10,-9.498308955279932e-11,2.0132195068253858e-11,-4.848328228805162e-10,-1.0609122875755676e-10,-4.2902852519458903e-10,-6.585999576482391e-10,-5.285199552080262e-11,-2.302442863417736e-09,-1.7652062036698545e-10,-3.1437339136276763e-10,9.307685934906728e-12,-5.420720586363497e-10,-1.9270064427367565e-10,-3.007507880323584e-10,-1.780609238354901e-10
