,I_pos,I_neg
0,0.0277,0.024
1,0.0278,0.0169
2,0.0002,0.0014
3,0.001,0.0067
4,0.0013,0.0011
5,0.0003,0.0002
6,0.0011,0.0008
7,0.0,0.0003
8,0.0001,0.0002
9,0.0002,0.0005
10,0.0001,0.0001
11,0.0002,0.0009
12,0.0004,0.0001
13,0.0016,0.0023
14,0.0005,0.001
15,0.0006,0.0017
16,0.0001,0.0003
17,0.0001,0.0001
18,0.0039,0.0058
19,0.0,0.0001
20,0.0003,0.0014
21,0.0007,0.0017
22,0.0031,0.0091
23,0.0032,0.0052
24,0.0018,0.0037
25,0.002,0.0076
26,0.0001,0.0002
27,0.0006,0.0095
28,0.002,0.0017
29,0.0,0.0009
30,0.0009,0.0008
31,0.0014,0.0012
32,0.0018,0.0057
33,0.0001,0.0011
34,0.0001,0.0006
35,0.0,0.0009
36,0.0032,0.0007
37,0.0005,0.0022
38,0.0014,0.0034
39,0.0007,0.001
40,0.0003,0.0015
41,0.011,0.0093
42,0.0022,0.0012
43,0.0034,0.0017
44,0.0016,0.0039
45,0.0007,0.0027
46,0.0006,0.001
47,0.0001,0.0056
48,0.0003,0.001
49,0.0,0.0017
50,0.0001,0.0043
51,0.0001,0.0009
52,0.0008,0.0128
53,0.0,0.001
54,0.0001,0.0015
55,0.0001,0.0007
56,0.0002,0.0075
57,0.0004,0.0011
58,0.0016,0.0023
59,0.0009,0.0025
